episode_id;section_index;gender;minutes;absolut_freq;freq_per_1000_tokens
20190101;2;M;38.38016666666667;12;0.03427141820840449
20190101;3;M;1.4586666666666663;1;0.002855951517367041
20190101;4;M;70.77066666666666;11;0.03141546669103745
20190102;0;F;43.91566666666667;6;0.02088242152560011
20190102;0;M;4.7108333333333325;1;0.002855951517367041
20190102;1;M;5.327333333333334;2;0.005711903034734082
20190102;2;M;37.60733333333334;6;0.017135709104202246
20190102;3;M;1.5433333333333337;1;0.002855951517367041
20190102;3;M;5.818666666666664;3;0.008567854552101123
20190102;4;M;4.514666666666669;1;0.002855951517367041
20190102;13;M;14.116166666666665;5;0.014279757586835206
20190108;1;M;24.004166666666663;4;0.011423806069468164
20190108;2;M;21.29866666666667;6;0.017135709104202246
20190108;4;M;5.474666666666667;1;0.002855951517367041
20190108;5;M;20.710666666666665;1;0.002855951517367041
20190109;1;F;41.34983333333333;5;0.017402017938000093
20190115;1;M;4.868166666666666;1;0.002855951517367041
20190115;5;M;8.005833333333332;1;0.002855951517367041
20190115;6;M;20.665000000000003;2;0.005711903034734082
20190117;0;F;41.64533333333333;5;0.017402017938000093
20190204;0;F;36.162;11;0.0382844394636002
20190204;1;F;6.474666666666667;1;0.0034804035876000185
20190307;3;F;12.514666666666669;1;0.0034804035876000185
20190307;6;F;6.178666666666663;2;0.006960807175200037
20190408;0;F;39.77;3;0.010441210762800055
20190408;2;F;11.229833333333334;2;0.006960807175200037
20190417;0;F;2.8245;1;0.0034804035876000185
20190417;1;F;12.842666666666668;2;0.006960807175200037
20190417;2;F;4.082666666666667;3;0.010441210762800055
20190417;4;F;22.668166666666664;11;0.0382844394636002
20190823;1;F;23.29866666666667;2;0.006960807175200037
20190823;2;F;6.433000000000004;1;0.0034804035876000185
20190823;3;F;3.386666666666671;1;0.0034804035876000185
20190904;0;M;10.242;1;0.002855951517367041
20190904;1;M;19.144999999999996;2;0.005711903034734082
20190904;5;M;1.8810000000000024;1;0.002855951517367041
20190904;7;M;5.0089999999999995;1;0.002855951517367041
20190908;0;M;21.2325;2;0.005711903034734082
20190908;2;M;20.148166666666665;9;0.025703563656303368
20191223;0;F;45.16716666666667;12;0.04176484305120022
20200105;1;M;7.962666666666666;2;0.005711903034734082
20200105;6;M;5.688999999999998;2;0.005711903034734082
20200105;8;M;17.665000000000003;1;0.002855951517367041
20200105;20;M;5.591333333333334;1;0.002855951517367041
20200105;25;M;2.0073333333333268;1;0.002855951517367041
20200105;26;M;1.9721666666666655;1;0.002855951517367041
20200105;29;M;2.898666666666668;1;0.002855951517367041
20200112;69;M;3.1498333333333375;1;0.002855951517367041
20200112;101;M;1.485833333333335;1;0.002855951517367041
20200116;1;F;53.22666666666667;7;0.024362825113200128
20200124;1;F;31.314666666666668;4;0.013921614350400074
20200124;2;F;28.689000000000004;2;0.006960807175200037
20200319;0;M;8.516166666666667;2;0.005711903034734082
20200319;1;M;2.3593333333333333;1;0.002855951517367041
20200326;0;M;14.496999999999998;2;0.005711903034734082
20200330;0;F;11.714;1;0.0034804035876000185
20200408;0;M;14.914666666666667;2;0.005711903034734082
20200412;51;M;1.129000000000004;1;0.002855951517367041
20200413;2;M;3.281;1;0.002855951517367041
20200413;7;M;6.552999999999999;2;0.005711903034734082
20200422;0;M;13.490666666666668;2;0.005711903034734082
20200424;0;M;16.410666666666668;7;0.019991660621569287
20200505;9;M;5.1418333333333335;2;0.005711903034734082
20200505;10;M;4.069833333333334;1;0.002855951517367041
20200505;15;M;7.989833333333339;1;0.002855951517367041
20200505;17;M;7.306666666666668;1;0.002855951517367041
20200505;18;M;10.637833333333331;1;0.002855951517367041
20200505;20;M;7.633000000000008;2;0.005711903034734082
20200505;21;M;1.1978333333333315;1;0.002855951517367041
20200505;23;M;6.308166666666663;3;0.008567854552101123
20200511;0;F;24.440333333333335;4;0.013921614350400074
20200524;11;M;6.058666666666666;1;0.002855951517367041
20200524;34;M;13.362666666666662;1;0.002855951517367041
20200608;0;F;24.0745;1;0.0034804035876000185
20200826;0;F;32.030833333333334;1;0.0034804035876000185
20200827;0;F;24.511333333333333;6;0.02088242152560011
20200920;29;M;4.140166666666664;1;0.002855951517367041
20201108;12;M;2.1673333333333327;2;0.005711903034734082
20201130;0;F;27.51133333333333;3;0.010441210762800055
20201203;11;F;4.733833333333333;2;0.006960807175200037
20201203;16;F;4.471333333333333;2;0.006960807175200037
20201213;3;F;26.543333333333337;5;0.017402017938000093
20201213;4;F;9.696999999999996;2;0.006960807175200037
20201213;5;F;10.43616666666666;1;0.0034804035876000185
20201231;3;M;7.0729999999999995;2;0.005711903034734082
20201231;5;M;37.325833333333335;2;0.005711903034734082
20210104;2;F;28.132166666666667;3;0.010441210762800055
