episode_id,gender,sõnaliigid,minutid,raw_count,freq_per_60_min
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,M,asesõnad,14.496999999999998,329,1361.6610333172382
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,M,omadussõnad,14.496999999999998,87,360.07449817203565
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,M,nimisõnad,14.496999999999998,395,1634.8209974477481
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,M,adverbid,14.496999999999998,419,1734.1518934952062
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,M,verbid,14.496999999999998,392,1622.4046354418158
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,M,partiklid,14.496999999999998,10,41.387873353107544
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,M,kaassõnad,14.496999999999998,35,144.85755673587641
20210404_episood_3_emoosekandid_ja_co2paraad,M,asesõnad,54.20033333333333,2049,2268.251732769171
20210404_episood_3_emoosekandid_ja_co2paraad,M,omadussõnad,54.20033333333333,337,373.0604362826797
20210404_episood_3_emoosekandid_ja_co2paraad,M,nimisõnad,54.20033333333333,1351,1495.562757916618
20210404_episood_3_emoosekandid_ja_co2paraad,M,adverbid,54.20033333333333,1756,1943.8994840130135
20210404_episood_3_emoosekandid_ja_co2paraad,M,verbid,54.20033333333333,2046,2264.930719983272
20210404_episood_3_emoosekandid_ja_co2paraad,M,partiklid,54.20033333333333,68,75.27628981371578
20210404_episood_3_emoosekandid_ja_co2paraad,M,kaassõnad,54.20033333333333,174,192.61874158215508
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,M,asesõnad,65.102,1504,1386.1325304906147
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,M,omadussõnad,65.102,394,363.12248471629135
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,M,nimisõnad,65.102,1698,1564.9288808331542
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,M,adverbid,65.102,2133,1965.8382230960647
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,M,verbid,65.102,2086,1922.521581518233
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,M,partiklid,65.102,125,115.20383398359498
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,M,kaassõnad,65.102,158,145.61764615526405
