episode_id,section_index,gender,minutes,pos,raw_count,freq_per_1000_tokens
20190101,1,M,6.895333333333334,omadussõnad,49,0.1399416243509835
20190101,2,M,38.38016666666667,omadussõnad,223,0.6368771883728446
20190101,3,M,1.4586666666666663,omadussõnad,7,0.019991660621569003
20190101,4,M,70.77066666666666,omadussõnad,400,1.1423806069468077
20190101,5,M,0.919333333333346,omadussõnad,11,0.031415466691037
20190101,6,M,0.2809999999999945,omadussõnad,2,0.005711903034734
20190102,0,F,43.91566666666667,omadussõnad,285,0.9919150224660013
20190102,0,M,1.714,omadussõnad,2,0.005711903034734
20190102,0,M,4.7108333333333325,omadussõnad,32,0.0913904485557441
20190102,1,M,1.777,omadussõnad,14,0.0399833212431381
20190102,1,M,5.327333333333334,omadussõnad,33,0.0942464000731112
20190102,2,M,37.60733333333334,omadussõnad,227,0.6483009944423129
20190102,3,M,1.5433333333333337,omadussõnad,5,0.014279757586835001
20190102,3,M,5.818666666666664,omadussõnad,33,0.09424640007311111
20190102,4,M,4.514666666666669,omadussõnad,21,0.059974981864707004
20190102,5,M,2.9161666666666664,omadussõnad,10,0.028559515173670003
20190102,6,M,0.2553333333333332,omadussõnad,1,0.002855951517367
20190102,7,M,0.0793333333333341,omadussõnad,1,0.002855951517367
20190102,12,M,13.065,omadussõnad,74,0.2113404122851584
20190102,13,M,14.116166666666665,omadussõnad,55,0.1570773334551855
20190102,14,M,2.2681666666666613,omadussõnad,9,0.025703563656303
20190102,15,M,5.465000000000002,omadussõnad,29,0.08282259400364331
20190102,16,M,1.425,omadussõnad,9,0.025703563656303004
20190102,17,M,1.8841666666666697,omadussõnad,12,0.0342714182084041
20190102,18,M,1.5386666666666693,omadussõnad,9,0.0257035636563031
20190102,19,M,1.600999999999999,omadussõnad,9,0.0257035636563031
20190102,21,M,0.117833333333336,omadussõnad,1,0.002855951517367
20190102,23,M,1.2426666666666657,omadussõnad,8,0.022847612138936102
20190102,24,M,0.0433333333333318,omadussõnad,1,0.002855951517367
20190108,1,M,24.004166666666663,omadussõnad,160,0.45695224277872243
20190108,2,M,21.29866666666667,omadussõnad,138,0.3941213093966484
20190108,3,M,4.30016666666667,omadussõnad,20,0.057119030347340206
20190108,4,M,5.474666666666667,omadussõnad,26,0.074254739451542
20190108,5,M,20.710666666666665,omadussõnad,123,0.35128203663614294
20190109,0,F,0.9045,omadussõnad,6,0.0208824215256
20190109,1,F,41.34983333333333,omadussõnad,287,0.9988758296412017
20190115,1,M,4.868166666666666,omadussõnad,27,0.0771106909689091
20190115,2,M,14.613833333333332,omadussõnad,99,0.2827392002193339
20190115,3,M,8.922666666666665,omadussõnad,52,0.1485094789030843
20190115,5,M,8.005833333333332,omadussõnad,42,0.11994996372941441
20190115,6,M,20.665000000000003,omadussõnad,119,0.3398582305666743
20190115,7,M,1.978666666666671,omadussõnad,12,0.034271418208404
20190115,8,M,5.863333333333336,omadussõnad,39,0.11138210917731321
20190117,0,F,41.64533333333333,omadussõnad,214,0.7448063677464007
20190204,0,F,36.162,omadussõnad,225,0.7830908072100009
20190204,1,F,6.474666666666667,omadussõnad,47,0.1635789686172002
20190307,0,F,1.546,omadussõnad,4,0.0139216143504
20190307,1,F,5.028166666666667,omadussõnad,19,0.0661276681644
20190307,3,F,12.514666666666669,omadussõnad,55,0.191422197318
20190307,4,F,13.447333333333331,omadussõnad,51,0.1775005829676
20190307,6,F,6.178666666666663,omadussõnad,29,0.1009317040404
20190408,0,F,7.418,omadussõnad,41,0.14269654709159998
20190408,0,F,39.77,omadussõnad,240,0.835296861024001
20190408,1,F,2.1498333333333295,omadussõnad,17,0.0591668609892
20190408,1,F,8.890666666666668,omadussõnad,50,0.17402017938000008
20190408,2,F,11.229833333333334,omadussõnad,76,0.2645106726576004
20190408,3,F,0.1481666666666645,omadussõnad,1,0.0034804035876
20190408,4,F,3.7001666666666666,omadussõnad,14,0.0487256502264
20190408,5,F,12.764166666666664,omadussõnad,97,0.33759914799720037
20190417,0,F,2.8245,omadussõnad,24,0.0835296861024
20190417,1,F,12.842666666666668,omadussõnad,76,0.2645106726576003
20190417,2,F,4.082666666666667,omadussõnad,14,0.0487256502264
20190417,3,F,0.6106666666666684,omadussõnad,1,0.0034804035876
20190417,4,F,22.668166666666664,omadussõnad,144,0.5011781166144004
20190823,0,F,9.627666666666666,omadussõnad,57,0.1983830044932001
20190823,1,F,23.29866666666667,omadussõnad,133,0.46289367715080026
20190823,2,F,6.433000000000004,omadussõnad,42,0.14617695067920009
20190823,3,F,3.386666666666671,omadussõnad,22,0.07656887892719999
20190904,0,M,10.242,omadussõnad,57,0.16278923648991972
20190904,1,M,19.144999999999996,omadussõnad,83,0.23704397594146193
20190904,2,M,1.5081666666666669,omadussõnad,3,0.008567854552101
20190904,3,M,23.900166666666664,omadussõnad,106,0.302730860840903
20190904,4,M,1.1146666666666685,omadussõnad,7,0.019991660621569003
20190904,5,M,1.8810000000000024,omadussõnad,16,0.045695224277872
20190904,6,M,0.4906666666666676,omadussõnad,2,0.005711903034734
20190904,7,M,5.0089999999999995,omadussõnad,35,0.0999583031078453
20190908,0,M,21.2325,omadussõnad,110,0.3141546669103708
20190908,1,M,0.9193333333333348,omadussõnad,8,0.022847612138936102
20190908,2,M,20.148166666666665,omadussõnad,117,0.3341463275319411
20190908,3,M,4.2330000000000005,omadussõnad,30,0.0856785455210102
20190908,4,M,3.4393333333333356,omadussõnad,20,0.0571190303473401
20191223,0,F,45.16716666666667,omadussõnad,217,0.7552475785092012
