episode_id,section_index,gender,minutes,pos,raw_count,freq_per_1000_tokens
20190101,1,M,6.895333333333334,kaassõnad,20,0.0571190303473401
20190101,2,M,38.38016666666667,kaassõnad,116,0.33129037601457473
20190101,3,M,1.4586666666666663,kaassõnad,1,0.002855951517367
20190101,4,M,70.77066666666666,kaassõnad,165,0.4712320003655589
20190102,0,F,43.91566666666667,kaassõnad,101,0.3515207623476007
20190102,0,M,1.714,kaassõnad,4,0.011423806069468
20190102,0,M,4.7108333333333325,kaassõnad,7,0.019991660621569003
20190102,1,M,1.777,kaassõnad,1,0.002855951517367
20190102,1,M,5.327333333333334,kaassõnad,15,0.042839272760505205
20190102,2,M,37.60733333333334,kaassõnad,110,0.3141546669103726
20190102,3,M,1.5433333333333337,kaassõnad,2,0.005711903034734
20190102,3,M,5.818666666666664,kaassõnad,8,0.022847612138936
20190102,4,M,4.514666666666669,kaassõnad,5,0.014279757586835001
20190102,5,M,2.9161666666666664,kaassõnad,9,0.025703563656303
20190102,8,M,0.4810000000000002,kaassõnad,1,0.002855951517367
20190102,9,M,0.3786666666666671,kaassõnad,1,0.002855951517367
20190102,11,M,1.0490000000000008,kaassõnad,2,0.005711903034734
20190102,12,M,13.065,kaassõnad,31,0.088534497038377
20190102,13,M,14.116166666666665,kaassõnad,29,0.08282259400364331
20190102,14,M,2.2681666666666613,kaassõnad,2,0.005711903034734
20190102,15,M,5.465000000000002,kaassõnad,7,0.019991660621569003
20190102,16,M,1.425,kaassõnad,2,0.005711903034734
20190102,17,M,1.8841666666666697,kaassõnad,2,0.005711903034734
20190102,18,M,1.5386666666666693,kaassõnad,2,0.005711903034734
20190102,19,M,1.600999999999999,kaassõnad,5,0.014279757586835001
20190102,22,M,0.7818333333333309,kaassõnad,3,0.008567854552101
20190102,24,M,0.0433333333333318,kaassõnad,1,0.002855951517367
20190108,1,M,24.004166666666663,kaassõnad,51,0.1456535273857176
20190108,2,M,21.29866666666667,kaassõnad,47,0.13422972131624972
20190108,3,M,4.30016666666667,kaassõnad,9,0.0257035636563031
20190108,4,M,5.474666666666667,kaassõnad,10,0.028559515173670003
20190108,5,M,20.710666666666665,kaassõnad,50,0.14279757586835032
20190109,0,F,0.9045,kaassõnad,1,0.0034804035876
20190109,1,F,41.34983333333333,kaassõnad,100,0.348040358760001
20190115,1,M,4.868166666666666,kaassõnad,12,0.034271418208404
20190115,2,M,14.613833333333332,kaassõnad,33,0.0942464000731113
20190115,3,M,8.922666666666665,kaassõnad,26,0.07425473945154211
20190115,5,M,8.005833333333332,kaassõnad,14,0.039983321243138005
20190115,6,M,20.665000000000003,kaassõnad,53,0.1513654304204517
20190115,7,M,1.978666666666671,kaassõnad,4,0.011423806069468
20190115,8,M,5.863333333333336,kaassõnad,16,0.045695224277872204
20190117,0,F,41.64533333333333,kaassõnad,85,0.29583430494600027
20190204,0,F,36.162,kaassõnad,93,0.3236775336468005
20190204,1,F,6.474666666666667,kaassõnad,17,0.0591668609892
20190307,0,F,1.546,kaassõnad,2,0.0069608071752
20190307,1,F,5.028166666666667,kaassõnad,10,0.034804035876
20190307,3,F,12.514666666666669,kaassõnad,22,0.07656887892719999
20190307,4,F,13.447333333333331,kaassõnad,19,0.0661276681644
20190307,6,F,6.178666666666663,kaassõnad,7,0.0243628251132
20190408,0,F,7.418,kaassõnad,16,0.0556864574016
20190408,0,F,39.77,kaassõnad,88,0.3062755157088005
20190408,1,F,2.1498333333333295,kaassõnad,3,0.0104412107628
20190408,1,F,8.890666666666668,kaassõnad,12,0.0417648430512
20190408,2,F,11.229833333333334,kaassõnad,23,0.08004928251480009
20190408,4,F,3.7001666666666666,kaassõnad,2,0.0069608071752
20190408,5,F,12.764166666666664,kaassõnad,26,0.0904904932776
20190417,0,F,2.8245,kaassõnad,4,0.0139216143504
20190417,1,F,12.842666666666668,kaassõnad,32,0.1113729148032
20190417,2,F,4.082666666666667,kaassõnad,15,0.052206053813999995
20190417,3,F,0.6106666666666684,kaassõnad,3,0.0104412107628
20190417,4,F,22.668166666666664,kaassõnad,64,0.2227458296064002
20190823,0,F,9.627666666666666,kaassõnad,24,0.0835296861024
20190823,1,F,23.29866666666667,kaassõnad,36,0.1252945291536
20190823,2,F,6.433000000000004,kaassõnad,19,0.0661276681644
20190823,3,F,3.386666666666671,kaassõnad,6,0.0208824215256
20190904,0,M,10.242,kaassõnad,21,0.059974981864707205
20190904,1,M,19.144999999999996,kaassõnad,39,0.11138210917731331
20190904,2,M,1.5081666666666669,kaassõnad,8,0.022847612138936
20190904,3,M,23.900166666666664,kaassõnad,43,0.1228059152467818
20190904,4,M,1.1146666666666685,kaassõnad,1,0.002855951517367
20190904,5,M,1.8810000000000024,kaassõnad,3,0.008567854552101
20190904,7,M,5.0089999999999995,kaassõnad,10,0.0285595151736701
20190908,0,M,21.2325,kaassõnad,41,0.1170940122120475
20190908,1,M,0.9193333333333348,kaassõnad,4,0.011423806069468
20190908,2,M,20.148166666666665,kaassõnad,46,0.1313737697988826
20190908,3,M,4.2330000000000005,kaassõnad,11,0.031415466691037106
20190908,4,M,3.4393333333333356,kaassõnad,7,0.019991660621569103
20191223,0,F,45.16716666666667,kaassõnad,112,0.3898052018112008
20200105,1,M,7.962666666666666,kaassõnad,17,0.048551175795239106
20200105,3,M,4.665,kaassõnad,13,0.0371273697257711
20200105,4,M,1.0666666666666669,kaassõnad,4,0.011423806069468
20200105,4,M,2.393,kaassõnad,4,0.011423806069468101
20200105,5,M,0.7913333333333337,kaassõnad,1,0.002855951517367
