episode_id,section_index,gender,minutes,pos,feature,raw_count,freq_per_100_lemmas
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,peale,10,0.0028559515173670414
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,arust,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,juurde,4,0.0011423806069468165
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,kohta,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,koos,4,0.0011423806069468165
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,kuni,4,0.0011423806069468165
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,läbi,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,peal,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,meelest,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,jooksul,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,enne,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,pärast,4,0.0011423806069468165
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,ajal,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,küljes,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,pealt,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,jaoks,6,0.0017135709104202249
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,väljaspool,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,poolt,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,poole,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,asemel,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,juures,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kaassõnad,tagasi,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,asemel,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,vastu,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,ajal,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,eest,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,põhjal,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,juures,3,0.0008567854552101124
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,kuni,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,pärast,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,vahelt,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,pool,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,alla,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,üle,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,kaassõnad,peale,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,3,M,0.55783333333333,kaassõnad,arust,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,kaassõnad,pärast,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,kaassõnad,taga,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,kaassõnad,jaoks,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,kaassõnad,tagasi,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,kaassõnad,poole,1,0.0002855951517367041
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,kaassõnad,enne,2,0.0005711903034734083
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,kaassõnad,peale,2,0.0005711903034734083
