episode_id;section_index;gender;minutes;absolut_freq;freq_per_1000_tokens
20190101;2;M;38.38016666666667;2;0.005711903034734082
20190101;4;M;70.77066666666666;4;0.011423806069468164
20190102;0;M;1.714;1;0.002855951517367041
20190102;1;M;5.327333333333334;1;0.002855951517367041
20190102;2;M;37.60733333333334;1;0.002855951517367041
20190102;11;M;1.0490000000000008;1;0.002855951517367041
20190102;15;M;5.465000000000002;2;0.005711903034734082
20190108;4;M;5.474666666666667;2;0.005711903034734082
20190108;5;M;20.710666666666665;5;0.014279757586835206
20190115;1;M;4.868166666666666;2;0.005711903034734082
20190115;2;M;14.613833333333332;5;0.014279757586835206
20190115;6;M;20.665000000000003;5;0.014279757586835206
20190115;8;M;5.863333333333336;1;0.002855951517367041
20190117;0;F;41.64533333333333;2;0.006960807175200037
20190204;0;F;36.162;3;0.010441210762800055
20190204;1;F;6.474666666666667;1;0.0034804035876000185
20190307;4;F;13.447333333333331;3;0.010441210762800055
20190307;6;F;6.178666666666663;1;0.0034804035876000185
20190408;0;F;7.418;2;0.006960807175200037
20190408;1;F;8.890666666666668;2;0.006960807175200037
20190417;4;F;22.668166666666664;1;0.0034804035876000185
20190904;1;M;19.144999999999996;1;0.002855951517367041
20190904;3;M;23.900166666666664;1;0.002855951517367041
20190904;7;M;5.0089999999999995;1;0.002855951517367041
20190908;0;M;21.2325;3;0.008567854552101123
20190908;2;M;20.148166666666665;1;0.002855951517367041
20191223;0;F;45.16716666666667;3;0.010441210762800055
20200105;8;M;17.665000000000003;3;0.008567854552101123
20200105;11;M;9.482666666666669;1;0.002855951517367041
20200105;12;M;5.412166666666667;1;0.002855951517367041
20200105;21;M;7.128999999999996;1;0.002855951517367041
20200105;22;M;2.0489999999999933;1;0.002855951517367041
20200112;30;M;1.6538333333333337;1;0.002855951517367041
20200112;114;M;7.581833333333331;1;0.002855951517367041
20200116;1;F;53.22666666666667;2;0.006960807175200037
20200124;1;F;31.314666666666668;1;0.0034804035876000185
20200124;2;F;28.689000000000004;1;0.0034804035876000185
20200330;0;F;11.714;2;0.006960807175200037
20200407;0;M;5.128;1;0.002855951517367041
20200408;0;M;14.914666666666667;1;0.002855951517367041
20200412;7;M;7.231333333333334;1;0.002855951517367041
20200412;56;M;4.0138333333333325;1;0.002855951517367041
20200413;2;M;3.281;1;0.002855951517367041
20200505;0;M;5.723666666666667;3;0.008567854552101123
20200505;2;M;0.6458333333333334;1;0.002855951517367041
20200505;6;M;9.169000000000002;1;0.002855951517367041
20200505;7;M;2.6889999999999987;1;0.002855951517367041
20200511;0;F;24.440333333333335;2;0.006960807175200037
20200524;4;M;4.452166666666667;1;0.002855951517367041
20200524;11;M;6.058666666666666;1;0.002855951517367041
20200730;2;M;7.367333333333335;1;0.002855951517367041
20200826;0;F;32.030833333333334;1;0.0034804035876000185
20201108;10;M;2.2346666666666652;1;0.002855951517367041
20201130;0;F;27.51133333333333;1;0.0034804035876000185
20201130;1;F;9.525833333333331;1;0.0034804035876000185
20201231;3;M;7.0729999999999995;6;0.017135709104202246
20201231;5;M;37.325833333333335;12;0.03427141820840449
20201231;6;M;13.087999999999996;1;0.002855951517367041
20210104;2;F;28.132166666666667;2;0.006960807175200037
20210106;0;F;24.734166666666667;7;0.024362825113200128
20210112;0;F;18.557333333333336;2;0.006960807175200037
20210112;1;F;4.169000000000001;2;0.006960807175200037
20210124;43;M;3.9481666666666646;3;0.008567854552101123
20210201;0;F;24.89816666666667;6;0.02088242152560011
20210208;4;M;5.677833333333333;1;0.002855951517367041
20210208;5;M;7.338666666666668;1;0.002855951517367041
20210208;9;M;6.332166666666671;4;0.011423806069468164
20210208;10;M;12.87616666666667;2;0.005711903034734082
20210208;12;M;4.0009999999999994;1;0.002855951517367041
20210220;2;F;48.436166666666665;1;0.0034804035876000185
20210313;0;M;54.761;4;0.011423806069468164
20210318;1;F;6.0778333333333325;1;0.0034804035876000185
20210321;0;M;41.82983333333333;1;0.002855951517367041
20210321;1;M;21.388166666666667;1;0.002855951517367041
20210322;1;F;29.687333333333335;2;0.006960807175200037
20210404;0;M;52.372166666666665;5;0.014279757586835206
20210405;3;F;28.698666666666668;4;0.013921614350400074
20210413;0;M;10.724166666666669;1;0.002855951517367041
20210413;2;M;24.133833333333335;1;0.002855951517367041
20210416;1;M;27.033;1;0.002855951517367041
20210416;2;F;12.289000000000003;2;0.006960807175200037
20210416;2;M;8.717833333333333;2;0.005711903034734082
20210416;2;M;11.751333333333331;3;0.008567854552101123
20210416;4;F;17.264666666666667;1;0.0034804035876000185
20210416;4;M;10.882666666666667;1;0.002855951517367041
20210416;5;M;17.14183333333333;2;0.005711903034734082
20210419;2;F;9.154666666666667;2;0.006960807175200037
20210419;4;F;6.745000000000001;1;0.0034804035876000185
20210419;4;F;21.924166666666668;1;0.0034804035876000185
20210419;5;F;23.804166666666664;1;0.0034804035876000185
20210422;0;M;83.633;3;0.008567854552101123
20210502;25;M;5.610666666666672;1;0.002855951517367041
20210519;1;F;4.666666666666667;1;0.0034804035876000185
20210519;3;F;1.3066666666666673;1;0.0034804035876000185
20210519;4;F;3.9178333333333337;1;0.0034804035876000185
20210519;5;F;21.693833333333338;3;0.010441210762800055
20210531;0;M;28.527333333333335;1;0.002855951517367041
20210603;0;F;33.215333333333334;1;0.0034804035876000185
20210614;0;M;14.166833333333331;1;0.002855951517367041
20210614;1;F;27.909833333333335;4;0.013921614350400074
20210620;1;F;44.687333333333335;2;0.006960807175200037
20210701;0;F;25.375;2;0.006960807175200037
20210727;1;F;26.025333333333332;4;0.013921614350400074
20210729;0;F;31.861333333333334;8;0.027843228700800148
20210824;0;F;17.574833333333334;1;0.0034804035876000185
