episode_id;section_index;gender;minutes;absolut_freq;freq_per_hour
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;1;M;6.895333333333334;8;69.61229817267717
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;2;M;38.38016666666667;85;132.88113218198635
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;3;M;1.4586666666666663;3;123.40036563071301
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;4;M;70.77066666666666;219;185.67014582312825
20190102_58_saade__ajurveeda_edendaja_kaja_keil;0;F;43.91566666666667;81;110.66665654625912
20190102_esialgu_nimeta_podcast_ep_2;3;M;1.5433333333333337;5;194.38444924406045
20190102_esialgu_nimeta_podcast_ep_2;5;M;2.9161666666666664;6;123.44973424015546
20190102_esialgu_nimeta_podcast_ep_2;9;M;0.3786666666666671;2;316.90140845070385
20190102_esialgu_nimeta_podcast_ep_2;11;M;1.0490000000000008;1;57.197330791229696
20190102_esialgu_nimeta_podcast_ep_2;12;M;13.065;38;174.51205510907005
20190102_esialgu_nimeta_podcast_ep_2;13;M;14.116166666666665;19;80.75846842273045
20190102_esialgu_nimeta_podcast_ep_2;14;M;2.2681666666666613;4;105.81233007568545
20190102_esialgu_nimeta_podcast_ep_2;15;M;5.465000000000002;11;120.76852698993592
20190102_esialgu_nimeta_podcast_ep_2;16;M;1.425;1;42.10526315789474
20190102_esialgu_nimeta_podcast_ep_2;17;M;1.8841666666666697;8;254.75453339230387
20190102_esialgu_nimeta_podcast_ep_2;18;M;1.5386666666666693;1;38.99480069324083
20190102_esialgu_nimeta_podcast_ep_2;19;M;1.600999999999999;5;187.3828856964398
20190102_esialgu_nimeta_podcast_ep_2;22;M;0.7818333333333309;1;76.7426987849075
20190102_esialgu_nimeta_podcast_ep_2;23;M;1.2426666666666657;1;48.28326180257515
20190102_esialgu_nimeta_podcast_ep_4;0;M;4.7108333333333325;24;305.67840084910677
20190102_esialgu_nimeta_podcast_ep_4;1;M;5.327333333333334;37;416.7188086597422
20190102_esialgu_nimeta_podcast_ep_4;2;M;37.60733333333334;158;252.0784953289252
