failinimi,test_norm,p_norm,sum_m,sum_n,r_rb,p_norm_holm,signif_norm_holm,chi2_stat,p_chi2,cramer_v,signif_chi2
loodan_sections.csv,Mann–Whitney U,1.2627895793828348e-05,56,41,-0.5828427249789739,2.5255791587656695e-05,True,2.3195876288659796,0.12775389001695733,0.15463917525773196,False
tundub_sections.csv,Mann–Whitney U,7.603629072181758e-07,166,125,-0.46273637374860954,3.041451628872703e-06,True,5.776632302405498,0.01624062972300501,0.140893470790378,True
arvan_sections.csv,Mann–Whitney U,0.0003008416165951118,642,362,-0.2716498316498317,0.0003008416165951118,True,78.08764940239044,9.856832353106532e-19,0.27888446215139445,True
ütleme_sections.csv,Mann–Whitney U,2.6639212659591534e-06,570,360,-0.36311863319162585,7.99176379787746e-06,True,47.41935483870968,5.731398082746754e-12,0.22580645161290322,True
usun_sections.csv,Mann–Whitney U,2.5717117448239046e-09,71,71,-0.6943396226415095,1.2858558724119524e-08,True,0.0,1.0,0.0,False
