failinimi,test_norm,p_norm,sum_m,sum_n,r_rb,p_norm_holm,signif_norm_holm,chi2_stat,p_chi2,cramer_v,signif_chi2,p_chi2_holm,signif_chi2_holm
kaassõnad.csv,Mann–Whitney U,1.708908513430667e-13,5297,4357,-0.4110518064436576,1.708908513430667e-13,True,0.17015234920974967,0.6799764456139045,0.000515386815305703,False,0.9025779194491816,False
abiverbid.csv,Mann–Whitney U,1.7720062503468398e-16,35326,29889,-0.4364200863930886,8.860031251734199e-16,True,7.10661826946149,0.007679985890566449,0.0033307790427152648,True,0.03839992945283224,True
nimisõnad.csv,Mann–Whitney U,5.63375494002967e-17,60809,50031,-0.43967009469504126,3.3802529640178024e-16,True,2.183494495486518,0.13949740864997845,0.00184624945493761,False,0.5579896345999138,False
verbid.csv,Mann–Whitney U,2.2193174662373557e-16,33598,28030,-0.43588700932552593,8.877269864949423e-16,True,0.5674124901800954,0.4512889597245908,0.0009411606806415617,False,0.9025779194491816,False
omadussõnad.csv,Mann–Whitney U,4.3415307639185203e-16,13586,12417,-0.435374149659864,9.5559804346975e-16,True,63.68879710989068,1.4571086409682774e-15,0.009971163845632161,True,1.0199760486777942e-14,True
pronoomenid.csv,Mann–Whitney U,3.185326811565833e-16,64345,53710,-0.4313438008157172,9.5559804346975e-16,True,1.4353540341378277,0.23089264083416033,0.0014969036471124868,False,0.6926779225024811,False
adverbid.csv,Mann–Whitney U,6.209888831715469e-18,61625,53225,-0.4584116093550056,4.346922182200828e-17,True,56.929377505339794,4.517467768392764e-14,0.009427196224952108,True,2.710480661035658e-13,True
