failinimi,test_norm,p_norm,sum_m,sum_n,r_rb,p_norm_holm,signif_norm_holm,chi2_stat,p_chi2,cramer_v,signif_chi2,p_chi2_holm,signif_chi2_holm
eitus.csv,Mann–Whitney U,8.366448266594818e-13,6420,4848,-0.4035250463821892,5.019868959956891e-12,True,24.791869522746758,6.386629297762483e-07,0.006221125580925213,True,2.5546517191049933e-06,True
tingiv_kõneviis.csv,Mann–Whitney U,1.5812181939926258e-15,2508,2456,-0.47235341825294597,1.4230963745933632e-14,True,34.553076895575074,4.147853733509841e-09,0.007344423181607952,True,2.9034976134568886e-08,True
intensiivistajad_omadussõnad.csv,Mann–Whitney U,2.27568211063168e-16,2151,2282,-0.4900740740740741,2.27568211063168e-15,True,67.87361673104277,1.7431811741716436e-16,0.010293541629832094,True,1.7431811741716436e-15,True
intensiivistajad_verbid.csv,Mann–Whitney U,1.6172640114105015e-16,1432,1366,-0.5057328360270756,1.7789904125515517e-15,True,13.745536355061564,0.00020931763366097397,0.0046322839698439856,True,0.0006279529009829219,True
esimese_ja_teise_isiku_pronoomenid.csv,Mann–Whitney U,8.888197727969248e-14,19879,16891,-0.40117763081563984,6.221738409578474e-13,True,5.627669548451487,0.01767911994653598,0.002964002894829749,True,0.03535823989307196,True
kaskiv_kõneviis.csv,Mann–Whitney U,3.4409526761433003e-09,1394,922,-0.37075393537696766,1.03228580284299e-08,True,28.67131054022404,8.576495871945956e-08,0.006690184606628627,True,5.145897523167574e-07,True
kp_markerid.csv,Mann–Whitney U,5.152959010595872e-10,1558,987,-0.3955000995553196,2.061183604238349e-09,True,44.32851737252802,2.7764211212201894e-11,0.008318709000839123,True,2.2211368969761515e-10,True
deminutiiv.csv,Mann–Whitney U,6.722849802176483e-12,244,311,-0.5524772497472195,3.361424901088241e-11,True,25.647763115838117,4.097702062273625e-07,0.006327600858850358,True,2.0488510311368127e-06,True
partiklid_vaata_oota_kuule.csv,Mann–Whitney U,0.004296752189744835,666,160,-0.2526058993124861,0.004296752189744835,True,225.0530730209287,7.1488297107879e-51,0.01874376381174518,True,7.86371268186669e-50,True
intensiivistajad_adverbid.csv,Mann–Whitney U,1.1648578714328582e-16,2429,2521,-0.49749373433583954,1.3978294457194299e-15,True,62.90698548502595,2.1670230062699644e-15,0.009909774372400385,True,1.950320705642968e-14,True
umbisikuline_tegumood.csv,Mann–Whitney U,6.38810533221332e-14,1588,1354,-0.4791236860202377,5.110484265770656e-13,True,0.5581996980489554,0.45498652233899406,0.0009334888351619222,False,0.45498652233899406,False
muud_partiklid.csv,Mann–Whitney U,3.314691632975794e-06,8995,4862,-0.2660057587879491,6.629383265951588e-06,True,600.6692982764167,1.1973509587247406e-132,0.030621893851545217,True,1.4368211504696888e-131,True
