episode_id,section_index,gender,minutes,sõnaliik,raw_count,freq_per_60_min
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,0,M,0.186,nimisõnad,2,645.1612903225806
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,1,M,6.895333333333334,nimisõnad,193,1679.3966934158366
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,2,M,38.38016666666667,nimisõnad,1024,1600.8268159335767
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,3,M,1.4586666666666663,nimisõnad,33,1357.404021937843
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,4,M,70.77066666666666,nimisõnad,1904,1614.2281171106677
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,5,M,0.919333333333346,nimisõnad,20,1305.2936910804751
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,6,M,0.2809999999999945,nimisõnad,4,854.0925266904081
20190102_58_saade__ajurveeda_edendaja_kaja_keil,0,F,43.91566666666667,nimisõnad,1106,1511.0780511131184
20190102_esialgu_nimeta_podcast_ep_2,0,M,1.714,nimisõnad,44,1540.2567094515753
20190102_esialgu_nimeta_podcast_ep_2,1,M,1.777,nimisõnad,24,810.3545301069216
20190102_esialgu_nimeta_podcast_ep_2,3,M,1.5433333333333337,nimisõnad,22,855.2915766738657
20190102_esialgu_nimeta_podcast_ep_2,4,M,0.2233333333333339,nimisõnad,2,537.3134328358194
20190102_esialgu_nimeta_podcast_ep_2,5,M,2.9161666666666664,nimisõnad,50,1028.7477853346288
20190102_esialgu_nimeta_podcast_ep_2,6,M,0.2553333333333332,nimisõnad,1,234.98694516971287
20190102_esialgu_nimeta_podcast_ep_2,7,M,0.0793333333333341,nimisõnad,1,756.3025210083957
20190102_esialgu_nimeta_podcast_ep_2,8,M,0.4810000000000002,nimisõnad,5,623.7006237006235
20190102_esialgu_nimeta_podcast_ep_2,11,M,1.0490000000000008,nimisõnad,14,800.7626310772158
20190102_esialgu_nimeta_podcast_ep_2,12,M,13.065,nimisõnad,285,1308.8404133180254
20190102_esialgu_nimeta_podcast_ep_2,13,M,14.116166666666665,nimisõnad,261,1109.366329385929
20190102_esialgu_nimeta_podcast_ep_2,14,M,2.2681666666666613,nimisõnad,32,846.4986406054836
20190102_esialgu_nimeta_podcast_ep_2,15,M,5.465000000000002,nimisõnad,131,1438.243366880146
20190102_esialgu_nimeta_podcast_ep_2,16,M,1.425,nimisõnad,27,1136.8421052631577
20190102_esialgu_nimeta_podcast_ep_2,17,M,1.8841666666666697,nimisõnad,33,1050.8624502432538
20190102_esialgu_nimeta_podcast_ep_2,18,M,1.5386666666666693,nimisõnad,23,896.8804159445392
20190102_esialgu_nimeta_podcast_ep_2,19,M,1.600999999999999,nimisõnad,26,974.391005621487
20190102_esialgu_nimeta_podcast_ep_2,22,M,0.7818333333333309,nimisõnad,9,690.6842890641675
20190102_esialgu_nimeta_podcast_ep_2,23,M,1.2426666666666657,nimisõnad,19,917.3819742489277
20190102_esialgu_nimeta_podcast_ep_2,24,M,0.0433333333333318,nimisõnad,1,1384.6153846154332
20190102_esialgu_nimeta_podcast_ep_4,0,M,4.7108333333333325,nimisõnad,112,1426.499203962498
20190102_esialgu_nimeta_podcast_ep_4,1,M,5.327333333333334,nimisõnad,118,1328.9951195094482
20190102_esialgu_nimeta_podcast_ep_4,2,M,37.60733333333334,nimisõnad,915,1459.82166598713
20190102_esialgu_nimeta_podcast_ep_4,3,M,5.818666666666664,nimisõnad,139,1433.3180568285982
20190102_esialgu_nimeta_podcast_ep_4,4,M,4.514666666666669,nimisõnad,88,1169.5215593620785
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,0,M,0.1845,nimisõnad,2,650.4065040650406
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,nimisõnad,658,1644.7144592952611
