episode_id,section_index,gender,minutes,sõnaliik,raw_count,freq_per_60_min
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,1,M,6.895333333333334,omadussõnad,49,426.3753263076477
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,2,M,38.38016666666667,omadussõnad,223,348.61755854803476
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,3,M,1.4586666666666663,omadussõnad,7,287.9341864716637
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,4,M,70.77066666666666,omadussõnad,403,341.66698066995747
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,5,M,0.919333333333346,omadussõnad,11,717.9115300942614
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,6,M,0.2809999999999945,omadussõnad,2,427.04626334520407
20190102_58_saade__ajurveeda_edendaja_kaja_keil,0,F,43.91566666666667,omadussõnad,288,393.48144549781017
20190102_esialgu_nimeta_podcast_ep_2,0,M,1.714,omadussõnad,2,70.01166861143524
20190102_esialgu_nimeta_podcast_ep_2,1,M,1.777,omadussõnad,14,472.7068092290376
20190102_esialgu_nimeta_podcast_ep_2,3,M,1.5433333333333337,omadussõnad,5,194.3844492440604
20190102_esialgu_nimeta_podcast_ep_2,5,M,2.9161666666666664,omadussõnad,10,205.74955706692577
20190102_esialgu_nimeta_podcast_ep_2,6,M,0.2553333333333332,omadussõnad,1,234.98694516971287
20190102_esialgu_nimeta_podcast_ep_2,7,M,0.0793333333333341,omadussõnad,1,756.3025210083957
20190102_esialgu_nimeta_podcast_ep_2,12,M,13.065,omadussõnad,74,339.83926521239954
20190102_esialgu_nimeta_podcast_ep_2,13,M,14.116166666666665,omadussõnad,56,238.0249595617319
20190102_esialgu_nimeta_podcast_ep_2,14,M,2.2681666666666613,omadussõnad,9,238.07774267029225
20190102_esialgu_nimeta_podcast_ep_2,15,M,5.465000000000002,omadussõnad,31,340.3476669716376
20190102_esialgu_nimeta_podcast_ep_2,16,M,1.425,omadussõnad,9,378.9473684210526
20190102_esialgu_nimeta_podcast_ep_2,17,M,1.8841666666666697,omadussõnad,12,382.13180008845586
20190102_esialgu_nimeta_podcast_ep_2,18,M,1.5386666666666693,omadussõnad,9,350.9532062391675
20190102_esialgu_nimeta_podcast_ep_2,19,M,1.600999999999999,omadussõnad,10,374.7657713928796
20190102_esialgu_nimeta_podcast_ep_2,21,M,0.117833333333336,omadussõnad,1,509.19377652049735
20190102_esialgu_nimeta_podcast_ep_2,23,M,1.2426666666666657,omadussõnad,8,386.2660944206011
20190102_esialgu_nimeta_podcast_ep_2,24,M,0.0433333333333318,omadussõnad,1,1384.6153846154332
20190102_esialgu_nimeta_podcast_ep_4,0,M,4.7108333333333325,omadussõnad,32,407.5712011321423
20190102_esialgu_nimeta_podcast_ep_4,1,M,5.327333333333334,omadussõnad,33,371.66812664247277
20190102_esialgu_nimeta_podcast_ep_4,2,M,37.60733333333334,omadussõnad,227,362.1634078459874
20190102_esialgu_nimeta_podcast_ep_4,3,M,5.818666666666664,omadussõnad,36,371.21906507791033
20190102_esialgu_nimeta_podcast_ep_4,4,M,4.514666666666669,omadussõnad,21,279.090372120496
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,omadussõnad,161,402.4301336573511
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,omadussõnad,140,394.3908851884311
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,3,M,4.30016666666667,omadussõnad,20,279.0589512034415
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,4,M,5.474666666666667,omadussõnad,26,284.94885533365806
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,omadussõnad,123,356.33811884375206
20190109_59_saade__astroloog_taimi_uuesoo_tutvustab_meile_13_thtkuju,0,F,0.9045,omadussõnad,6,398.0099502487561
20190109_59_saade__astroloog_taimi_uuesoo_tutvustab_meile_13_thtkuju,1,F,41.34983333333333,omadussõnad,290,420.79976138557595
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,1,M,4.868166666666666,omadussõnad,27,332.774144955322
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,omadussõnad,101,414.6755927602842
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,3,M,8.922666666666665,omadussõnad,52,349.67124925283935
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,5,M,8.005833333333332,omadussõnad,43,322.2650150931613
