episode_id,section_index,gender,minutes,sõnaliik,raw_count,freq_per_60_min
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,1,M,6.895333333333334,kaassõnad,20,174.03074543169294
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,2,M,38.38016666666667,kaassõnad,116,181.3436627424755
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,3,M,1.4586666666666663,kaassõnad,1,41.13345521023767
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,4,M,70.77066666666666,kaassõnad,166,140.73627491616114
20190102_58_saade__ajurveeda_edendaja_kaja_keil,0,F,43.91566666666667,kaassõnad,101,137.99175692805147
20190102_esialgu_nimeta_podcast_ep_2,0,M,1.714,kaassõnad,4,140.02333722287048
20190102_esialgu_nimeta_podcast_ep_2,1,M,1.777,kaassõnad,1,33.7647720877884
20190102_esialgu_nimeta_podcast_ep_2,3,M,1.5433333333333337,kaassõnad,2,77.75377969762415
20190102_esialgu_nimeta_podcast_ep_2,5,M,2.9161666666666664,kaassõnad,9,185.1746013602332
20190102_esialgu_nimeta_podcast_ep_2,8,M,0.4810000000000002,kaassõnad,1,124.7401247401247
20190102_esialgu_nimeta_podcast_ep_2,9,M,0.3786666666666671,kaassõnad,1,158.45070422535196
20190102_esialgu_nimeta_podcast_ep_2,11,M,1.0490000000000008,kaassõnad,2,114.39466158245939
20190102_esialgu_nimeta_podcast_ep_2,12,M,13.065,kaassõnad,31,142.3650975889782
20190102_esialgu_nimeta_podcast_ep_2,13,M,14.116166666666665,kaassõnad,29,123.26292548732545
20190102_esialgu_nimeta_podcast_ep_2,14,M,2.2681666666666613,kaassõnad,2,52.906165037842726
20190102_esialgu_nimeta_podcast_ep_2,15,M,5.465000000000002,kaassõnad,7,76.85269899359558
20190102_esialgu_nimeta_podcast_ep_2,16,M,1.425,kaassõnad,2,84.21052631578947
20190102_esialgu_nimeta_podcast_ep_2,17,M,1.8841666666666697,kaassõnad,2,63.68863334807598
20190102_esialgu_nimeta_podcast_ep_2,18,M,1.5386666666666693,kaassõnad,2,77.98960138648167
20190102_esialgu_nimeta_podcast_ep_2,19,M,1.600999999999999,kaassõnad,5,187.3828856964398
