episode_id,section_index,gender,minutes,pos,raw_count,freq_per_100_lemmas
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,0,M,0.186,verbid,2,0.0005711903034734
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,1,M,6.895333333333334,verbid,171,0.0488367709469759
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,2,M,38.38016666666667,verbid,1133,0.3235793069176834
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,3,M,1.4586666666666663,verbid,51,0.0145653527385717
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,4,M,70.77066666666666,verbid,2071,0.591467559246711
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,5,M,0.919333333333346,verbid,26,0.0074254739451542
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel,6,M,0.2809999999999945,verbid,4,0.0011423806069468
20190102_58_saade__ajurveeda_edendaja_kaja_keil,0,F,43.91566666666667,verbid,1151,0.3963075567001983
20190102_esialgu_nimeta_podcast_ep_2,0,M,1.714,verbid,22,0.0062830933382074
20190102_esialgu_nimeta_podcast_ep_2,1,M,1.777,verbid,42,0.0119949963729414
20190102_esialgu_nimeta_podcast_ep_2,3,M,1.5433333333333337,verbid,38,0.0108526157659946
20190102_esialgu_nimeta_podcast_ep_2,4,M,0.2233333333333339,verbid,3,0.0008567854552101
20190102_esialgu_nimeta_podcast_ep_2,5,M,2.9161666666666664,verbid,61,0.0174213042559387
20190102_esialgu_nimeta_podcast_ep_2,6,M,0.2553333333333332,verbid,7,0.0019991660621569
20190102_esialgu_nimeta_podcast_ep_2,7,M,0.0793333333333341,verbid,2,0.0005711903034734
20190102_esialgu_nimeta_podcast_ep_2,8,M,0.4810000000000002,verbid,10,0.002855951517367
20190102_esialgu_nimeta_podcast_ep_2,9,M,0.3786666666666671,verbid,13,0.0037127369725771
20190102_esialgu_nimeta_podcast_ep_2,11,M,1.0490000000000008,verbid,28,0.0079966642486276
20190102_esialgu_nimeta_podcast_ep_2,12,M,13.065,verbid,357,0.1019574691700024
20190102_esialgu_nimeta_podcast_ep_2,13,M,14.116166666666665,verbid,373,0.1065269915977896
20190102_esialgu_nimeta_podcast_ep_2,14,M,2.2681666666666613,verbid,49,0.0139941624350983
20190102_esialgu_nimeta_podcast_ep_2,15,M,5.465000000000002,verbid,176,0.0502647467056594
20190102_esialgu_nimeta_podcast_ep_2,16,M,1.425,verbid,42,0.0119949963729414
20190102_esialgu_nimeta_podcast_ep_2,17,M,1.8841666666666697,verbid,68,0.0194204703180957
20190102_esialgu_nimeta_podcast_ep_2,18,M,1.5386666666666693,verbid,44,0.012566186676414801
20190102_esialgu_nimeta_podcast_ep_2,19,M,1.600999999999999,verbid,51,0.0145653527385717
20190102_esialgu_nimeta_podcast_ep_2,20,M,0.1866666666666712,verbid,3,0.0008567854552101
20190102_esialgu_nimeta_podcast_ep_2,22,M,0.7818333333333309,verbid,20,0.005711903034734
20190102_esialgu_nimeta_podcast_ep_2,23,M,1.2426666666666657,verbid,33,0.0094246400073111
20190102_esialgu_nimeta_podcast_ep_2,24,M,0.0433333333333318,verbid,1,0.0002855951517367
20190102_esialgu_nimeta_podcast_ep_4,0,M,4.7108333333333325,verbid,145,0.0414112970018216
20190102_esialgu_nimeta_podcast_ep_4,1,M,5.327333333333334,verbid,174,0.049693556402186
20190102_esialgu_nimeta_podcast_ep_4,2,M,37.60733333333334,verbid,1247,0.3561371542156674
20190102_esialgu_nimeta_podcast_ep_4,3,M,5.818666666666664,verbid,169,0.048265580643502504
20190102_esialgu_nimeta_podcast_ep_4,4,M,4.514666666666669,verbid,154,0.0439816533674519
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,0,M,0.1845,verbid,2,0.0005711903034734
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,verbid,724,0.2067708898573719
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,verbid,628,0.1793537552906488
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,3,M,4.30016666666667,verbid,124,0.0354137988153509
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,4,M,5.474666666666667,verbid,162,0.0462664145813455
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,verbid,582,0.1662163783107604
20190109_59_saade__astroloog_taimi_uuesoo_tutvustab_meile_13_thtkuju,0,F,0.9045,verbid,17,0.0058533696471785995
20190109_59_saade__astroloog_taimi_uuesoo_tutvustab_meile_13_thtkuju,1,F,41.34983333333333,verbid,1469,0.505800000688617
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,0,M,0.1845,verbid,2,0.0005711903034734
