episode_id,section_index,gender,minutes,pos,feature,raw_count,freq_per_1000_tokens
20210416,1,M,27.033,abiverbid,olema,187,0.5340629337476367
20210416,1,M,27.033,abiverbid,saama,37,0.10567020614258053
20210416,1,M,27.033,abiverbid,võima,12,0.03427141820840449
20210416,1,M,27.033,abiverbid,tulema,16,0.045695224277872655
20210416,1,M,27.033,abiverbid,pidama,15,0.042839272760505615
20210416,1,M,27.033,abiverbid,tegema,21,0.059974981864707864
20210416,1,M,27.033,abiverbid,minema,24,0.06854283641680899
20210416,1,M,27.033,abiverbid,hakkama,6,0.017135709104202246
20210416,2,M,8.717833333333333,abiverbid,minema,11,0.03141546669103745
20210416,2,M,8.717833333333333,abiverbid,olema,72,0.20562850925042697
20210416,2,M,8.717833333333333,abiverbid,tulema,3,0.008567854552101123
20210416,2,M,8.717833333333333,abiverbid,saama,8,0.022847612138936328
20210416,2,M,8.717833333333333,abiverbid,tegema,4,0.011423806069468164
20210416,2,M,8.717833333333333,abiverbid,pidama,2,0.005711903034734082
20210416,2,M,8.717833333333333,abiverbid,võima,5,0.014279757586835206
20210416,3,M,0.55783333333333,abiverbid,tulema,2,0.005711903034734082
20210416,3,M,0.55783333333333,abiverbid,olema,2,0.005711903034734082
20210416,3,M,0.55783333333333,abiverbid,võima,1,0.002855951517367041
20210416,4,M,10.882666666666667,abiverbid,olema,84,0.23989992745883146
20210416,4,M,10.882666666666667,abiverbid,minema,6,0.017135709104202246
20210416,4,M,10.882666666666667,abiverbid,saama,12,0.03427141820840449
20210416,4,M,10.882666666666667,abiverbid,tegema,11,0.03141546669103745
20210416,4,M,10.882666666666667,abiverbid,võima,3,0.008567854552101123
20210416,4,M,10.882666666666667,abiverbid,tulema,14,0.039983321243138574
20210416,4,M,10.882666666666667,abiverbid,pidama,7,0.019991660621569287
20210416,5,M,17.14183333333333,abiverbid,olema,166,0.47408795188292885
20210416,5,M,17.14183333333333,abiverbid,saama,15,0.042839272760505615
20210416,5,M,17.14183333333333,abiverbid,tegema,11,0.03141546669103745
20210416,5,M,17.14183333333333,abiverbid,tulema,11,0.03141546669103745
20210416,5,M,17.14183333333333,abiverbid,pidama,8,0.022847612138936328
20210416,5,M,17.14183333333333,abiverbid,võima,11,0.03141546669103745
20210416,5,M,17.14183333333333,abiverbid,minema,10,0.028559515173670412
20210416,5,M,17.14183333333333,abiverbid,hakkama,11,0.03141546669103745
20190108,1,M,24.004166666666666,abiverbid,olema,234,0.6682926550638876
20190108,1,M,24.004166666666666,abiverbid,pidama,16,0.045695224277872655
20190108,1,M,24.004166666666666,abiverbid,minema,13,0.037127369725771533
20190108,1,M,24.004166666666666,abiverbid,tegema,17,0.0485511757952397
20190108,1,M,24.004166666666666,abiverbid,saama,42,0.11994996372941573
20190108,1,M,24.004166666666666,abiverbid,võima,6,0.017135709104202246
20190108,1,M,24.004166666666666,abiverbid,tulema,17,0.0485511757952397
20190108,1,M,24.004166666666666,abiverbid,hakkama,10,0.028559515173670412
20190108,2,M,21.29866666666667,abiverbid,olema,231,0.6597248005117865
20190108,2,M,21.29866666666667,abiverbid,saama,36,0.10281425462521349
20190108,2,M,21.29866666666667,abiverbid,tulema,16,0.045695224277872655
20190108,2,M,21.29866666666667,abiverbid,tegema,13,0.037127369725771533
20190108,2,M,21.29866666666667,abiverbid,võima,6,0.017135709104202246
20190108,2,M,21.29866666666667,abiverbid,pidama,11,0.03141546669103745
20190108,2,M,21.29866666666667,abiverbid,minema,15,0.042839272760505615
20190108,2,M,21.29866666666667,abiverbid,hakkama,8,0.022847612138936328
20190108,3,M,4.30016666666667,abiverbid,olema,29,0.0828225940036442
20190108,3,M,4.30016666666667,abiverbid,saama,8,0.022847612138936328
20190108,3,M,4.30016666666667,abiverbid,võima,3,0.008567854552101123
20190108,3,M,4.30016666666667,abiverbid,pidama,4,0.011423806069468164
20190108,3,M,4.30016666666667,abiverbid,tulema,7,0.019991660621569287
20190108,3,M,4.30016666666667,abiverbid,hakkama,1,0.002855951517367041
20190108,3,M,4.30016666666667,abiverbid,minema,4,0.011423806069468164
20190108,4,M,5.474666666666667,abiverbid,võima,7,0.019991660621569287
20190108,4,M,5.474666666666667,abiverbid,olema,36,0.10281425462521349
20190108,4,M,5.474666666666667,abiverbid,tegema,3,0.008567854552101123
20190108,4,M,5.474666666666667,abiverbid,tulema,7,0.019991660621569287
20190108,4,M,5.474666666666667,abiverbid,pidama,6,0.017135709104202246
20190108,4,M,5.474666666666667,abiverbid,saama,2,0.005711903034734082
20190108,4,M,5.474666666666667,abiverbid,minema,3,0.008567854552101123
20190108,5,M,20.710666666666665,abiverbid,olema,174,0.4969355640218651
20190108,5,M,20.710666666666665,abiverbid,tulema,27,0.07711069096891011
20190108,5,M,20.710666666666665,abiverbid,minema,15,0.042839272760505615
20190108,5,M,20.710666666666665,abiverbid,saama,27,0.07711069096891011
20190108,5,M,20.710666666666665,abiverbid,hakkama,4,0.011423806069468164
20190108,5,M,20.710666666666665,abiverbid,võima,12,0.03427141820840449
20190108,5,M,20.710666666666665,abiverbid,pidama,17,0.0485511757952397
20190108,5,M,20.710666666666665,abiverbid,tegema,16,0.045695224277872655
20200319,0,M,8.516166666666667,abiverbid,olema,64,0.18278089711149062
20200319,0,M,8.516166666666667,abiverbid,minema,3,0.008567854552101123
20200319,0,M,8.516166666666667,abiverbid,saama,7,0.019991660621569287
20200319,0,M,8.516166666666667,abiverbid,tegema,5,0.014279757586835206
20200319,0,M,8.516166666666667,abiverbid,hakkama,4,0.011423806069468164
