episode_id,section_index,gender,minutes,pos,feature,raw_count,freq_per_1000_tokens
20210416,1,M,27.033,kaassõnad,peale,10,0.028559515173670412
20210416,1,M,27.033,kaassõnad,arust,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,juurde,4,0.011423806069468164
20210416,1,M,27.033,kaassõnad,kohta,2,0.005711903034734082
20210416,1,M,27.033,kaassõnad,koos,4,0.011423806069468164
20210416,1,M,27.033,kaassõnad,kuni,4,0.011423806069468164
20210416,1,M,27.033,kaassõnad,läbi,2,0.005711903034734082
20210416,1,M,27.033,kaassõnad,peal,2,0.005711903034734082
20210416,1,M,27.033,kaassõnad,meelest,2,0.005711903034734082
20210416,1,M,27.033,kaassõnad,jooksul,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,enne,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,pärast,4,0.011423806069468164
20210416,1,M,27.033,kaassõnad,ajal,2,0.005711903034734082
20210416,1,M,27.033,kaassõnad,küljes,2,0.005711903034734082
20210416,1,M,27.033,kaassõnad,pealt,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,jaoks,6,0.017135709104202246
20210416,1,M,27.033,kaassõnad,väljaspool,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,poolt,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,poole,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,asemel,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,juures,1,0.002855951517367041
20210416,1,M,27.033,kaassõnad,tagasi,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,asemel,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,vastu,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,ajal,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,eest,2,0.005711903034734082
20210416,2,M,8.717833333333333,kaassõnad,põhjal,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,juures,3,0.008567854552101123
20210416,2,M,8.717833333333333,kaassõnad,kuni,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,pärast,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,vahelt,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,pool,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,alla,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,üle,1,0.002855951517367041
20210416,2,M,8.717833333333333,kaassõnad,peale,2,0.005711903034734082
20210416,3,M,0.55783333333333,kaassõnad,arust,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,pärast,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,taga,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,jaoks,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,tagasi,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,poole,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,enne,2,0.005711903034734082
20210416,4,M,10.882666666666667,kaassõnad,peale,2,0.005711903034734082
20210416,4,M,10.882666666666667,kaassõnad,koos,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,äärde,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,mööda,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,pidi,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,juures,2,0.005711903034734082
20210416,4,M,10.882666666666667,kaassõnad,ajal,1,0.002855951517367041
20210416,4,M,10.882666666666667,kaassõnad,teel,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,koos,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,heaks,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,pealt,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,jooksul,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,pärast,6,0.017135709104202246
20210416,5,M,17.14183333333333,kaassõnad,peale,6,0.017135709104202246
20210416,5,M,17.14183333333333,kaassõnad,käest,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,vahele,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,eest,3,0.008567854552101123
20210416,5,M,17.14183333333333,kaassõnad,enne,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,kõrval,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,kõrvalt,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,meelest,4,0.011423806069468164
20210416,5,M,17.14183333333333,kaassõnad,peal,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,läbi,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,moodi,3,0.008567854552101123
20210416,5,M,17.14183333333333,kaassõnad,tänu,2,0.005711903034734082
20210416,5,M,17.14183333333333,kaassõnad,järgi,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,teel,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,jaoks,2,0.005711903034734082
20210416,5,M,17.14183333333333,kaassõnad,sees,2,0.005711903034734082
20210416,5,M,17.14183333333333,kaassõnad,alla,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,seest,1,0.002855951517367041
20210416,5,M,17.14183333333333,kaassõnad,juurde,1,0.002855951517367041
20190108,1,M,24.004166666666666,kaassõnad,poolt,1,0.002855951517367041
