ngram;count;freq_per_60_min
eesmärk olema paljutahuline;3;0.0695
asi olema vaatama;3;0.0695
kolm kord nädal;3;0.0695
koht number 11;3;0.0695
vaatama et äkki;3;0.0695
mängima see asi;3;0.0695
no mina tahtma;3;0.0695
jopska tasku rööking;3;0.0695
arvama et esimene;3;0.0695
sapka mägi onu;3;0.0695
tuulelohe hõljuma kaugele;3;0.0695
tallinn tehnikaülikool it-teaduskond;3;0.0695
inimene kes tahtma;3;0.0695
tegelikult olema võimalik;3;0.0695
no mina arust;3;0.0695
inimene koda eesti;3;0.0695
arvama et enamus;3;0.0695
internet ära lõpetama;3;0.0695
ütlema et paluma;3;0.0695
ostma see mäng;3;0.0695
mõtlema see asi;3;0.0695
telekas tulema muretsema;3;0.0695
asi kogu aeg;3;0.0695
tegelema see asi;3;0.0695
mees ja naine;3;0.0695
asi mis tegelikult;3;0.0695
võtma see migreen;3;0.0695
tootma kasulik ühend;3;0.0695
tahtma nüüd ütlema;3;0.0695
teadma mina tahtma;3;0.0695
inimene kokku puutuma;3;0.0695
teadma ei no;3;0.0695
hind olema rääkima;3;0.0695
rääkima et hindamatu;3;0.0695
las poiss nokitsema;3;0.0695
pluss mina kaks;3;0.0695
mees vorm sinine;3;0.0695
käsi tasku rajoon;3;0.0695
sõna rahu valama;3;0.0695
lõppenud tahtma teadma;3;0.0695
käsi jõudma õhtu;3;0.0695
jõudma õhtu tund;3;0.0695
tund see laul;3;0.0695
laul jagu paiste;3;0.0695
jääma vaikne käsi;3;0.0695
soovima hea vana;3;0.0695
õppima vene keel;3;0.0695
esimene armastus jääma;3;0.0695
värv olema armastus;3;0.0695
stuudio tere hea;2;0.0463
hea kuulamine jutt;2;0.0463
kuulamine jutt roheline;2;0.0463
tund aeg rääkima;2;0.0463
tekkima see probleem;2;0.0463
vaatama see teema;2;0.0463
ütlema et kaks;2;0.0463
jääma väga hästi;2;0.0463
esimene kord elu;2;0.0463
kaitsevägi ära käima;2;0.0463
sobima väga hästi;2;0.0463
