ngram;count;freq_per_100_n-gramms
eesmärk olema paljutahuline;3;0.0058
asi olema vaatama;3;0.0058
kolm kord nädal;3;0.0058
koht number 11;3;0.0058
vaatama et äkki;3;0.0058
mängima see asi;3;0.0058
no mina tahtma;3;0.0058
jopska tasku rööking;3;0.0058
arvama et esimene;3;0.0058
sapka mägi onu;3;0.0058
tuulelohe hõljuma kaugele;3;0.0058
tallinn tehnikaülikool it-teaduskond;3;0.0058
inimene kes tahtma;3;0.0058
tegelikult olema võimalik;3;0.0058
no mina arust;3;0.0058
inimene koda eesti;3;0.0058
arvama et enamus;3;0.0058
internet ära lõpetama;3;0.0058
ütlema et paluma;3;0.0058
ostma see mäng;3;0.0058
mõtlema see asi;3;0.0058
telekas tulema muretsema;3;0.0058
asi kogu aeg;3;0.0058
tegelema see asi;3;0.0058
mees ja naine;3;0.0058
asi mis tegelikult;3;0.0058
võtma see migreen;3;0.0058
tootma kasulik ühend;3;0.0058
tahtma nüüd ütlema;3;0.0058
teadma mina tahtma;3;0.0058
inimene kokku puutuma;3;0.0058
teadma ei no;3;0.0058
hind olema rääkima;3;0.0058
rääkima et hindamatu;3;0.0058
las poiss nokitsema;3;0.0058
pluss mina kaks;3;0.0058
mees vorm sinine;3;0.0058
käsi tasku rajoon;3;0.0058
sõna rahu valama;3;0.0058
lõppenud tahtma teadma;3;0.0058
käsi jõudma õhtu;3;0.0058
jõudma õhtu tund;3;0.0058
tund see laul;3;0.0058
laul jagu paiste;3;0.0058
jääma vaikne käsi;3;0.0058
soovima hea vana;3;0.0058
õppima vene keel;3;0.0058
esimene armastus jääma;3;0.0058
värv olema armastus;3;0.0058
stuudio tere hea;2;0.0039
hea kuulamine jutt;2;0.0039
kuulamine jutt roheline;2;0.0039
tund aeg rääkima;2;0.0039
tekkima see probleem;2;0.0039
vaatama see teema;2;0.0039
ütlema et kaks;2;0.0039
jääma väga hästi;2;0.0039
esimene kord elu;2;0.0039
kaitsevägi ära käima;2;0.0039
sobima väga hästi;2;0.0039
käima üle jõud;2;0.0039
täpselt see hetk;2;0.0039
jaa see mõte;2;0.0039
tekkima selline probleem;2;0.0039
raha eest ostma;2;0.0039
võtma see asi;2;0.0039
mõtlema et tahtma;2;0.0039
lihtsalt hea lugu;2;0.0039
nutma tere teisipäev;2;0.0039
jaan martinson delfi;2;0.0039
martinson delfi eesti;2;0.0039
oskama vene keel;2;0.0039
üldse nii suur;2;0.0039
ütlema et pensionär;2;0.0039
õige või vale;2;0.0039
lahendama see asi;2;0.0039
mk etapp otepää;2;0.0039
jõudma üle-eelmine aasta;2;0.0039
üle-eelmine aasta tase;2;0.0039
paar päev hiljem;2;0.0039
jõudma eelmine aasta;2;0.0039
hea kolleeg madis;2;0.0039
viimane aeg suurem;2;0.0039
naine kaks võistlus;2;0.0039
ütlema 50 aasta;2;0.0039
eesti parim sportlane;2;0.0039
aasta viimane saade;2;0.0039
uus aasta esimene;2;0.0039
näitama et asi;2;0.0039
ameerika jalgpalliliiga nfl;2;0.0039
jõudma play off;2;0.0039
võtma eelmine aasta;2;0.0039
uus aasta ennustus;2;0.0039
ütlema see kolm;2;0.0039
tõstma ei absoluutselt;2;0.0039
mees või naine;2;0.0039
ütlema et pääsema;2;0.0039
tänak tulema maailmameister;2;0.0039
küsimus kas anett;2;0.0039
rääkima teine asi;2;0.0039
kolm väga hea;2;0.0039
täpselt nii kaua;2;0.0039
kindlasti olema parem;2;0.0039
juhkami ja keit;2;0.0039
tarkus ja oskus;2;0.0039
küsimus number viima;2;0.0039
bc kalev cramo;2;0.0039
mäletama eelmine aasta;2;0.0039
tegelikult päris hea;2;0.0039
eesti kergejõustiklane võitma;2;0.0039
arvama et kindlasti;2;0.0039
valesti mina ütlema;2;0.0039
aeg ei no;2;0.0039
küsimus number kaheksa;2;0.0039
küsima mina arvama;2;0.0039
küsimus number üheksa;2;0.0039
ütlema see aasta;2;0.0039
küsimus number 10;2;0.0039
kristina šmigun vähi;2;0.0039
tekkima niisugune olukord;2;0.0039
hommikune tere lõuna;2;0.0039
lõuna tere õhtune;2;0.0039
ütlema mina teadma;2;0.0039
arvama et aasta;2;0.0039
teadma väga hästi;2;0.0039
nägema selline nii-öelda;2;0.0039
võtma mina mõtlema;2;0.0039
vanasti olema vaja;2;0.0039
arvama et asi;2;0.0039
hetk mina rääkima;2;0.0039
vaja rohkem talent;2;0.0039
ütlema et vanasti;2;0.0039
15 aasta harjutanud;2;0.0039
mõte et lihtsalt;2;0.0039
võtma see teekond;2;0.0039
mõte ja samamoodi;2;0.0039
arvama et plaadifirma;2;0.0039
põhimõtteliselt võima ütlema;2;0.0039
inimene kes kuulama;2;0.0039
nojah see mõte;2;0.0039
maailm olema tegelikult;2;0.0039
mõtlema mis asi;2;0.0039
lihtsalt ei jõudma;2;0.0039
jõudma mitte kuskile;2;0.0039
lihtsalt pidama jätkama;2;0.0039
õigem olema ütlema;2;0.0039
kõlama nii hästi;2;0.0039
laulja ja ütlema;2;0.0039
rääkima see inimene;2;0.0039
arvama ja okei;2;0.0039
raadio või kuskilt;2;0.0039
ilmselt väga suur;2;0.0039
muutma mina arvamus;2;0.0039
kirjutama see nimel;2;0.0039
küsima see asi;2;0.0039
parem asi maailm;2;0.0039
muusika ei kõlama;2;0.0039
kõlama nagu valmis;2;0.0039
välismaa mingi asi;2;0.0039
spotify top 10;2;0.0039
inimene kes teadma;2;0.0039
lihtsalt see vend;2;0.0039
hästi hea näide;2;0.0039
spotify top 10.;2;0.0039
näide mina arvama;2;0.0039
tegelikult eelmine aasta;2;0.0039
viimane kaks aasta;2;0.0039
aasta olema jube;2;0.0039
20 aasta hiljem;2;0.0039
andma ise aru;2;0.0039
eesti mina rääkima;2;0.0039
kuulama see auto;2;0.0039
arvama kui vana;2;0.0039
kuulaja kes kuulama;2;0.0039
absoluutselt ei meeldima;2;0.0039
aitama see mõte;2;0.0039
muusik elama paremini;2;0.0039
aprillikuu eesti puue;2;0.0039
puue inimene komitee;2;0.0039
inimene koda peaspetsialist;2;0.0039
küsimus mis epikoda;2;0.0039
puue inimene õigus;2;0.0039
inimene õigus konventsioon;2;0.0039
toetama otsustamine mehhanism;2;0.0039
elu ja kogukond;2;0.0039
lumi olema sadama;2;0.0039
normaalne elu osa;2;0.0039
andma sina teadma;2;0.0039
teadma kas üldse;2;0.0039
panema konn vesi;2;0.0039
asi ja soovitama;2;0.0039
natuke teine teema;2;0.0039
tahtma sina küsima;2;0.0039
no mina vaatama;2;0.0039
suund see mõte;2;0.0039
kasutama see uus;2;0.0039
külm ja ebasõbralik;2;0.0039
näide et prantslane;2;0.0039
asi mis juhtuma;2;0.0039
jääma niisugune mulje;2;0.0039
erinev probleem lahendama;2;0.0039
kiirgus mis põhjustama;2;0.0039
maakera olema lapik;2;0.0039
liisa kommentaar lugema;2;0.0039
panema oma mõte;2;0.0039
täna magama vähe;2;0.0039
teadma et osa;2;0.0039
kümme tuhat inimene;2;0.0039
silm peal hoidma;2;0.0039
heitma täna jälle;2;0.0039
täna jälle pilk;2;0.0039
toimuma siin vestlema;2;0.0039
andma mina arvama;2;0.0039
tehing arv maha;2;0.0039
tegelikult olema suhteliselt;2;0.0039
eesti olema hästi;2;0.0039
soovima kõik hea;2;0.0039
podcas vaene moosekant;2;0.0039
teema olema hästi;2;0.0039
arvama et tõmbama;2;0.0039
gring mina arust;2;0.0039
tegelikult olema hea;2;0.0039
lõpp see aasta;2;0.0039
nägema kuidas inimene;2;0.0039
viitsima enam vaatama;2;0.0039
hästi halb näide;2;0.0039
natuke teine asi;2;0.0039
no see emotsioon;2;0.0039
ütlema et davai;2;0.0039
kohapeal miski juhtuma;2;0.0039
kuu aeg hiljem;2;0.0039
aeg tagasi toimuma;2;0.0039
sõitma eestimaa vaba;2;0.0039
mõtlema oma pea;2;0.0039
