ngram;count;freq_per_100_n-gramms
ei teadma;446;0.3975
mina arvama;374;0.3333
see mõte;300;0.2674
mina tahtma;291;0.2594
olema tegelikult;229;0.2041
mina ütlema;226;0.2014
mina rääkima;212;0.1889
see inimene;209;0.1863
olema hästi;201;0.1791
olema vaja;180;0.1604
ei tahtma;174;0.1551
saama aru;174;0.1551
et tegelikult;173;0.1542
mina teadma;171;0.1524
see asi;161;0.1435
kogu aeg;159;0.1417
olema võimalik;157;0.1399
väga hea;148;0.1319
et inimene;147;0.1310
sina tahtma;136;0.1212
sina ütlema;130;0.1159
mina nägema;128;0.1141
mina vaatama;116;0.1034
mina mõtlema;105;0.0936
kui inimene;96;0.0856
olema täna;95;0.0847
selline asi;94;0.0838
olema hea;91;0.0811
see teema;90;0.0802
olema lihtsalt;88;0.0784
olema kindlasti;88;0.0784
ja tegelikult;86;0.0766
see aeg;84;0.0749
siis tegelikult;80;0.0713
tema tahtma;80;0.0713
väga suur;78;0.0695
see nii-öelda;77;0.0686
see aasta;77;0.0686
olema inimene;75;0.0668
mina tegelikult;72;0.0642
see tähendama;72;0.0642
väga hästi;71;0.0633
mina võtma;70;0.0624
mina uskuma;67;0.0597
mina tundma;67;0.0597
ei oskama;67;0.0597
üks asi;66;0.0588
iga päev;66;0.0588
vaimne tervis;66;0.0588
aga tegelikult;65;0.0579
ja vaatama;64;0.0570
väga oluline;61;0.0544
ei tohtima;60;0.0535
mina lihtsalt;59;0.0526
sina tundma;59;0.0526
olema ütlema;58;0.0517
hea meel;57;0.0508
see koht;57;0.0508
mina küsima;54;0.0481
oma elu;54;0.0481
mina meeldima;53;0.0472
palju inimene;52;0.0463
ja ütlema;52;0.0463
ei nägema;51;0.0455
olema nii-öelda;51;0.0455
sina nägema;50;0.0446
see hetk;49;0.0437
see tegelikult;49;0.0437
väga raske;49;0.0437
olema oluline;49;0.0437
mis asi;49;0.0437
siis nii-öelda;49;0.0437
olema valmis;48;0.0428
olema üldse;48;0.0428
see võimalus;46;0.0410
olema erinev;46;0.0410
tema ütlema;46;0.0410
see küsimus;46;0.0410
mina panema;46;0.0410
mina tunduma;45;0.0401
olema nägema;45;0.0401
võima ütlema;44;0.0392
teine inimene;44;0.0392
ju tegelikult;44;0.0392
eelmine aasta;44;0.0392
siis ütlema;44;0.0392
see õige;44;0.0392
üks hetk;43;0.0383
see ütlema;43;0.0383
sina rääkima;43;0.0383
see esimene;43;0.0383
nii ütlema;43;0.0383
olema õige;42;0.0374
sina teadma;42;0.0374
hästi oluline;41;0.0365
mina käima;41;0.0365
see otsus;41;0.0365
just nimelt;40;0.0357
et okei;40;0.0357
mina jõudma;40;0.0357
ei sobima;40;0.0357
sama aeg;39;0.0348
sina võtma;39;0.0348
nii suur;39;0.0348
olema täpselt;39;0.0348
ei võtma;39;0.0348
olema rääkima;39;0.0348
ja kindlasti;38;0.0339
ka ütlema;38;0.0339
ei ütlema;37;0.0330
et kindlasti;37;0.0330
et vaatama;37;0.0330
kõige suurem;37;0.0330
see hind;37;0.0330
see töö;37;0.0330
mina mäletama;37;0.0330
mina alustama;37;0.0330
et eesti;36;0.0321
see noor;36;0.0321
sina arvama;36;0.0321
olema seotud;36;0.0321
mina arust;35;0.0312
noh ütlema;35;0.0312
väga tore;34;0.0303
ja rääkima;34;0.0303
olema näiteks;34;0.0303
ei jõudma;34;0.0303
mis inimene;34;0.0303
nagu hästi;34;0.0303
olema näide;34;0.0303
mina sööma;34;0.0303
et kuulma;34;0.0303
sina küsima;33;0.0294
olema no;33;0.0294
kes tahtma;33;0.0294
ja tahtma;33;0.0294
ja mõtlema;33;0.0294
see olukord;33;0.0294
teine asi;32;0.0285
mina kindlasti;32;0.0285
et näiteks;32;0.0285
ei suutma;32;0.0285
et noor;32;0.0285
mina lootma;32;0.0285
väga erinev;32;0.0285
iga inimene;31;0.0276
ei rääkima;31;0.0276
ei meeldima;31;0.0276
kaks aasta;31;0.0276
see andma;31;0.0276
et ütlema;31;0.0276
tänane päev;31;0.0276
et äkki;31;0.0276
saama ütlema;30;0.0267
olema natuke;30;0.0267
mina elu;30;0.0267
ja inimene;30;0.0267
kõige olulisem;30;0.0267
ei julgema;30;0.0267
ja no;30;0.0267
vastu võtma;30;0.0267
palju erinev;30;0.0267
see protsess;30;0.0267
mis tähendama;30;0.0267
olema natukene;30;0.0267
sina vaatama;30;0.0267
ei pruukima;30;0.0267
mõni mõte;30;0.0267
esimene kord;29;0.0258
et lihtsalt;29;0.0258
see üldse;29;0.0258
täpselt samamoodi;29;0.0258
mina täna;29;0.0258
ei jääma;29;0.0258
see pilt;29;0.0258
see lihtsalt;29;0.0258
tahtma ütlema;29;0.0258
hea sõber;29;0.0258
olema nõus;29;0.0258
see osa;28;0.0250
aga rääkima;28;0.0250
mõni inimene;28;0.0250
iga juht;28;0.0250
see raha;28;0.0250
olema eesti;28;0.0250
olema samamoodi;28;0.0250
olema jõudma;28;0.0250
või ütlema;27;0.0241
mina soovitama;27;0.0241
oma aeg;27;0.0241
tema tegelikult;27;0.0241
see lugu;27;0.0241
mingi hetk;27;0.0241
ei panema;27;0.0241
mina leidma;27;0.0241
nagu ütlema;27;0.0241
olema kuulma;26;0.0232
üks inimene;26;0.0232
vaba aeg;26;0.0232
siis inimene;26;0.0232
mingi asi;26;0.0232
see elu;26;0.0232
tema lihtsalt;26;0.0232
olema jälle;26;0.0232
olema noor;26;0.0232
10 aasta;26;0.0232
olema mõtlema;26;0.0232
oma töö;26;0.0232
mina üldse;26;0.0232
see toit;26;0.0232
et võtma;26;0.0232
see tegevus;26;0.0232
olema õppima;25;0.0223
tema rääkima;25;0.0223
see rääkima;25;0.0223
olema kaks;25;0.0223
hästi suur;25;0.0223
ja küsima;25;0.0223
et tahtma;25;0.0223
mis toimuma;25;0.0223
mina keha;25;0.0223
olema suur;25;0.0223
väga põnev;25;0.0223
sina mõtlema;25;0.0223
ka tegelikult;25;0.0223
väga lihtne;25;0.0223
kokku puutuma;25;0.0223
sina lihtsalt;25;0.0223
pidama teadma;25;0.0223
see energia;25;0.0223
esimene asi;24;0.0214
välja tooma;24;0.0214
ja panema;24;0.0214
mina püüdma;24;0.0214
see uus;24;0.0214
jüri ratas;24;0.0214
see suur;24;0.0214
kõik asi;24;0.0214
olema võimalus;24;0.0214
sina panema;24;0.0214
viljandi linn;24;0.0214
mis tegelikult;23;0.0205
tema tundma;23;0.0205
olema esimene;23;0.0205
aga lihtsalt;23;0.0205
olema raske;23;0.0205
ei mäletama;23;0.0205
ei mõtlema;23;0.0205
viimane aeg;23;0.0205
olema terve;23;0.0205
mis puudutama;23;0.0205
no ütlema;23;0.0205
siis täna;23;0.0205
olema käima;23;0.0205
kõige parem;23;0.0205
see kaks;23;0.0205
panema tähele;23;0.0205
sina tegelikult;23;0.0205
siis võtma;23;0.0205
arko vara;23;0.0205
see maakler;23;0.0205
väga äge;22;0.0196
sina meeldima;22;0.0196
noorsootöö keskus;22;0.0196
mina andma;22;0.0196
aga ütlema;22;0.0196
ja loomulikult;22;0.0196
välja nägema;22;0.0196
