lemma;raw_count;freq_per_100_lemmas
20;60;0.458
sündima;60;0.458
põhimõtteliselt;60;0.458
vähe;60;0.458
palk;60;0.458
noorsootöötaja;59;0.451
tõmbama;59;0.451
plaan;59;0.451
tegutsema;59;0.451
idee;58;0.443
paremini;58;0.443
jagama;58;0.443
armastus;58;0.443
valimine;58;0.443
võimalikult;57;0.435
korraks;57;0.435
sattuma;56;0.428
keskkond;56;0.428
kartma;56;0.428
õpilane;56;0.428
õigus;56;0.428
raamat;55;0.420
hiljem;55;0.420
konkreetne;55;0.420
tänapäev;55;0.420
arvestama;55;0.420
poliitika;55;0.420
liige;54;0.412
koroona;54;0.412
nimelt;54;0.412
tulevik;54;0.412
ruum;54;0.412
tööandja;54;0.412
emotsioon;54;0.412
positiivne;53;0.405
kõrgem;53;0.405
arutama;53;0.405
õnnelik;53;0.405
muutus;53;0.405
suund;53;0.405
piirkond;53;0.405
esiteks;53;0.405
trenn;53;0.405
vesi;53;0.405
hing;52;0.397
märkama;52;0.397
ajal;52;0.397
tulemus;52;0.397
tõepoolest;52;0.397
uks;52;0.397
kriis;51;0.390
nõudlus;51;0.390
lahendama;51;0.390
lisa;51;0.390
järjest;51;0.390
reformierakond;51;0.390
märk;51;0.390
kuskilt;50;0.382
klass;50;0.382
lööma;50;0.382
töötaja;50;0.382
seisma;50;0.382
tõstma;49;0.374
puhas;49;0.374
väiksem;49;0.374
kevad;49;0.374
facebook;49;0.374
malev;49;0.374
kolmas;48;0.367
motivatsioon;48;0.367
teistmoodi;48;0.367
mängima;48;0.367
euroopa;48;0.367
sõltuma;48;0.367
soovitus;48;0.367
tõenäoliselt;48;0.367
seisukoht;48;0.367
riigikogu;48;0.367
huvitama;47;0.359
mõistma;47;0.359
täitma;47;0.359
vajalik;47;0.359
isa;47;0.359
kuskile;46;0.351
kogema;46;0.351
kaua;46;0.351
viga;46;0.351
kuuluma;46;0.351
algama;46;0.351
ehitama;46;0.351
tasuma;46;0.351
amet;46;0.351
seadus;46;0.351
liis;46;0.351
kõne;45;0.344
liikumine;45;0.344
tasand;45;0.344
olulisem;45;0.344
minut;45;0.344
uudis;45;0.344
pere;45;0.344
koer;45;0.344
avalik;45;0.344
anne;45;0.344
keskerakond;45;0.344
nipp;45;0.344
olenema;44;0.336
seis;44;0.336
piisavalt;44;0.336
suhteliselt;44;0.336
süsteem;44;0.336
eraldi;44;0.336
mõnus;44;0.336
arko;44;0.336
suurepärane;44;0.336
uuring;44;0.336
tähtis;43;0.328
üritama;43;0.328
uuesti;43;0.328
jõud;43;0.328
sisemine;43;0.328
seitse;43;0.328
kandma;43;0.328
tavaline;43;0.328
edukas;43;0.328
tähele;43;0.328
vale;43;0.328
laen;43;0.328
tänav;43;0.328
minister;43;0.328
büroo;43;0.328
kaasama;43;0.328
trauma;43;0.328
külaline;42;0.321
armastama;42;0.321
kell;42;0.321
kaduma;42;0.321
pluss;42;0.321
laud;42;0.321
sisuliselt;42;0.321
liha;42;0.321
kursus;42;0.321
keskus;41;0.313
talv;41;0.313
kujunema;41;0.313
enamasti;41;0.313
ga;41;0.313
haigus;41;0.313
anu;40;0.306
arust;40;0.306
ülikool;40;0.306
marge;40;0.306
kinnisvaramaakler;40;0.306
tervislik;39;0.298
teadlik;39;0.298
vaataja;39;0.298
mõju;39;0.298
abielu;39;0.298
usaldama;39;0.298
puutuma;39;0.298
kohtuma;39;0.298
kinnisvaraturg;39;0.298
süda;39;0.298
toetus;39;0.298
nõu;39;0.298
kohalik;39;0.298
osalema;39;0.298
mentor;39;0.298
meeskond;39;0.298
juhtima;39;0.298
kohustus;39;0.298
haridus;39;0.298
päike;39;0.298
rahvas;39;0.298
tühi;38;0.290
sündmus;38;0.290
kiiremini;38;0.290
aspekt;38;0.290
rõõm;38;0.290
mõistlik;38;0.290
praktika;38;0.290
koostöö;38;0.290
tugi;38;0.290
instagram;38;0.290
aus;37;0.283
jumal;37;0.283
enamus;37;0.283
magama;37;0.283
konkreetselt;37;0.283
tase;37;0.283
hirm;37;0.283
tükk;37;0.283
arendus;37;0.283
uurima;37;0.283
helistama;37;0.283
tagasiside;37;0.283
suunama;37;0.283
kontakt;37;0.283
mineraalaine;37;0.283
kuus;37;0.283
ajama;37;0.283
füüsiline;36;0.275
arenema;36;0.275
variant;36;0.275
100;36;0.275
kohtumine;36;0.275
hulk;36;0.275
põhiseadus;36;0.275
hinnang;36;0.275
hindama;36;0.275
bränd;36;0.275
punkt;36;0.275
kristel;36;0.275
antud;35;0.267
selgelt;35;0.267
loodus;35;0.267
õhk;35;0.267
võrdlema;35;0.267
kiire;35;0.267
spetsialist;35;0.267
panustama;35;0.267
kohus;35;0.267
viitama;35;0.267
saavutama;35;0.267
pood;35;0.267
ekre;35;0.267
arendama;34;0.260
30;34;0.260
aine;34;0.260
ausalt;34;0.260
periood;34;0.260
kõrge;34;0.260
oluliselt;34;0.260
pärima;34;0.260
krunt;34;0.260
lisama;34;0.260
ratas;34;0.260
isiklik;33;0.252
nautima;33;0.252
õnn;33;0.252
areng;33;0.252
juhtum;33;0.252
selgitama;33;0.252
külg;33;0.252
paistma;33;0.252
trend;33;0.252
teenima;33;0.252
arusaadav;33;0.252
täpsemalt;33;0.252
pöörama;33;0.252
summa;33;0.252
grupp;33;0.252
loom;33;0.252
sotsiaalmeedia;33;0.252
lähemalt;33;0.252
lause;33;0.252
üksinda;32;0.244
osas;32;0.244
lahkuma;32;0.244
hääl;32;0.244
harjuma;32;0.244
positsioon;32;0.244
kaheksa;32;0.244
parim;32;0.244
töökoht;32;0.244
vaktsineerimine;32;0.244
leppima;32;0.244
kaitsma;32;0.244
tuli;32;0.244
valu;32;0.244
korraldama;31;0.237
varsti;31;0.237
sirje;31;0.237
kahju;31;0.237
kasvatama;31;0.237
pikalt;31;0.237
vahetama;31;0.237
lausa;31;0.237
pikem;31;0.237
lai;31;0.237
arutelu;31;0.237
pruukima;31;0.237
astroloogia;31;0.237
patsient;31;0.237
kahjuks;30;0.229
tasakaal;30;0.229
väljakutse;30;0.229
vestlus;30;0.229
kasv;30;0.229
materjal;30;0.229
keskenduma;30;0.229
peamine;30;0.229
ruutmeeter;30;0.229
tingimus;30;0.229
reegel;30;0.229
tuttav;30;0.229
unustama;30;0.229
vanus;30;0.229
üldjuht;30;0.229
nõudma;30;0.229
esile;30;0.229
esitama;30;0.229
poliitik;30;0.229
lapsevanem;30;0.229
arvamus;30;0.229
sõnum;30;0.229
mask;30;0.229
partner;30;0.229
kirjeldama;29;0.222
tehnika;29;0.222
armas;29;0.222
pidevalt;29;0.222
häälestus;29;0.222
arst;29;0.222
saamine;29;0.222
jüri;29;0.222
15;29;0.222
issand;29;0.222
tegu;29;0.222
meedia;29;0.222
nägu;29;0.222
koduleht;29;0.222
karjäär;29;0.222
vastutama;29;0.222
punane;29;0.222
kanal;29;0.222
lahe;28;0.214
stuudio;28;0.214
nõid;28;0.214
24;28;0.214
avatud;28;0.214
otseselt;28;0.214
otse;28;0.214
jalg;28;0.214
maakond;28;0.214
langema;28;0.214
oskus;28;0.214
kaasamine;28;0.214
jooma;28;0.214
liit;28;0.214
vaktsineerima;28;0.214
leht;28;0.214
kõht;28;0.214
õigesti;28;0.214
eriala;28;0.214
missioon;28;0.214
astroloog;28;0.214
viskama;28;0.214
tõsi;27;0.206
tihtipeale;27;0.206
gümnaasium;27;0.206
ki;27;0.206
jama;27;0.206
puhkama;27;0.206
kergem;27;0.206
ammu;27;0.206
tõsine;27;0.206
kuju;27;0.206
vahend;27;0.206
haige;27;0.206
teenus;27;0.206
jube;27;0.206
kukkuma;27;0.206
tänama;27;0.206
kasu;27;0.206
majandus;27;0.206
arv;27;0.206
üüriturg;27;0.206
jätkuvalt;27;0.206
vaikselt;27;0.206
üldine;27;0.206
sein;27;0.206
avama;27;0.206
viirus;27;0.206
palgalõhe;27;0.206
juus;27;0.206
porgand;27;0.206
üksik;27;0.206
saksamaa;27;0.206
ainuke;27;0.206
mentorlus;27;0.206
isiklikult;26;0.199
reaalselt;26;0.199
tohutult;26;0.199
praktiline;26;0.199
tõde;26;0.199
põhjal;26;0.199
haigla;26;0.199
hull;26;0.199
mood;26;0.199
kaotama;26;0.199
selg;26;0.199
tänaseks;26;0.199
60;26;0.199
keerulisem;26;0.199
endiselt;26;0.199
tutvustama;26;0.199
jooksma;26;0.199
leping;26;0.199
omadus;26;0.199
terviseamet;26;0.199
pinge;26;0.199
varasemalt;26;0.199
tubli;26;0.199
tunnistama;26;0.199
sarnane;26;0.199
kandidaat;26;0.199
kersti;26;0.199
ootus;26;0.199
kinnisvarabüroo;26;0.199
grete;25;0.191
aken;25;0.191
avastama;25;0.191
küla;25;0.191
informatsioon;25;0.191
ülevaade;25;0.191
loomine;25;0.191
suhtlemine;25;0.191
teinekord;25;0.191
eksima;25;0.191
märksõna;25;0.191
praktiliselt;25;0.191
kandideerima;25;0.191
suunatud;25;0.191
eile;25;0.191
kinnitama;25;0.191
hooldekodu;25;0.191
loobuma;25;0.191
värske;25;0.191
suu;25;0.191
õpilasesindus;25;0.191
üritus;25;0.191
ala;25;0.191
kukkumine;25;0.191
loomaaed;25;0.191
hästi-hästi;24;0.183
mets;24;0.183
sügis;24;0.183
null;24;0.183
käituma;24;0.183
liina;24;0.183
lill;24;0.183
kokkulepe;24;0.183
rahulikult;24;0.183
50;24;0.183
ring;24;0.183
vaade;24;0.183
üür;24;0.183
köök;24;0.183
sissetulek;24;0.183
kogukond;24;0.183
põhiline;24;0.183
järsku;24;0.183
seoses;24;0.183
ideaalne;24;0.183
ülesanne;24;0.183
kippuma;24;0.183
koalitsioon;24;0.183
tervik;24;0.183
toitaine;24;0.183
hiljuti;24;0.183
sünnikaart;24;0.183
kaup;24;0.183
ekspert;24;0.183
treening;24;0.183
pärnits;24;0.183
tiim;23;0.176
maks;23;0.176
kristiina;23;0.176
planeet;23;0.176
ilusti;23;0.176
tahe;23;0.176
planeerima;23;0.176
pisike;23;0.176
kesklinn;23;0.176
kallas;23;0.176
üleüldse;23;0.176
nimel;23;0.176
pension;23;0.176
lükkama;23;0.176
andmed;23;0.176
12;23;0.176
oht;23;0.176
jätkama;23;0.176
avalikkus;23;0.176
eriolukord;23;0.176
toon;23;0.176
meetod;23;0.176
käitumine;23;0.176
tuba;23;0.176
ärevus;23;0.176
unistus;23;0.176
negatiivne;23;0.176
kaljulaid;23;0.176
puu;23;0.176
kuum;23;0.176
referendum;23;0.176
toksiline;23;0.176
seletama;22;0.168
raskem;22;0.168
soe;22;0.168
valge;22;0.168
kasulik;22;0.168
millegipärast;22;0.168
võõras;22;0.168
eestlane;22;0.168
laiem;22;0.168
tutvuma;22;0.168
seisund;22;0.168
järjekord;22;0.168
kallim;22;0.168
pikaajaline;22;0.168
aastane;22;0.168
sõitma;22;0.168
seadma;22;0.168
vorm;22;0.168
sotsiaaldemokraat;22;0.168
vabariik;22;0.168
meede;22;0.168
keerama;22;0.168
määr;22;0.168
kuhugile;22;0.168
lapsepõlv;22;0.168
peaminister;22;0.168
kari;22;0.168
loeng;22;0.168
kuulutus;22;0.168
huviline;22;0.168
liituma;22;0.168
mikk;22;0.168
parandama;21;0.160
alus;21;0.160
häälestama;21;0.160
detail;21;0.160
liik;21;0.160
maitse;21;0.160
terje;21;0.160
suhtuma;21;0.160
artikkel;21;0.160
vägivald;21;0.160
roheline;21;0.160
rakendama;21;0.160
piisama;21;0.160
koosolek;21;0.160
arvuti;21;0.160
magus;21;0.160
kõnetama;21;0.160
valesti;21;0.160
tark;21;0.160
ettevõtja;21;0.160
auhind;21;0.160
ajastu;21;0.160
analüüsima;20;0.153
vahest;20;0.153
varasem;20;0.153
maagia;20;0.153
külm;20;0.153
reaalne;20;0.153
surema;20;0.153
ärkama;20;0.153
kurb;20;0.153
reaalsus;20;0.153
poeg;20;0.153
vastupidi;20;0.153
tunnetama;20;0.153
eriline;20;0.153
kättesaadav;20;0.153
tagama;20;0.153
kaaluma;20;0.153
tasu;20;0.153
olemine;20;0.153
olev;20;0.153
eelarve;20;0.153
õnnestuma;20;0.153
jätkuma;20;0.153
toime;20;0.153
süst;20;0.153
riigieelarve;20;0.153
mismoodi;20;0.153
menüü;20;0.153
internet;20;0.153
stress;20;0.153
halvasti;20;0.153
teiseks;20;0.153
universum;20;0.153
ühine;20;0.153
parasjagu;20;0.153
segama;20;0.153
tellima;20;0.153
turundus;20;0.153
teadusnõukoda;20;0.153
saatejuht;19;0.145
vabandama;19;0.145
tähtsam;19;0.145
puhkus;19;0.145
õppimine;19;0.145
teadlikkus;19;0.145
lõppema;19;0.145
lähedane;19;0.145
selgeltnägija;19;0.145
kerge;19;0.145
paha;19;0.145
11;19;0.145
tõeline;19;0.145
surm;19;0.145
kõndima;19;0.145
vald;19;0.145
vaim;19;0.145
võitma;19;0.145
väitma;19;0.145
kestma;19;0.145
edu;19;0.145
kvartal;19;0.145
üürikorter;19;0.145
puudus;19;0.145
häda;19;0.145
analüütik;19;0.145
ennekõike;19;0.145
ostmine;19;0.145
rahvusvaheline;19;0.145
portaal;19;0.145
korraga;19;0.145
toetav;19;0.145
julgustama;19;0.145
intervjuu;19;0.145
suurim;19;0.145
siiamaani;19;0.145
mugav;19;0.145
sport;19;0.145
koolitama;19;0.145
asuma;19;0.145
perearst;19;0.145
link;19;0.145
mulje;19;0.145
minevik;19;0.145
organism;19;0.145
notar;19;0.145
telefon;19;0.145
personal;19;0.145
talent;19;0.145
depressioon;19;0.145
ilmselgelt;19;0.145
veevalaja;19;0.145
libe;19;0.145
youtube;18;0.137
eri;18;0.137
korralikult;18;0.137
lühike;18;0.137
põhi;18;0.137
tüüp;18;0.137
isik;18;0.137
olemus;18;0.137
muster;18;0.137
arve;18;0.137
eeldama;18;0.137
kutsikas;18;0.137
veenus;18;0.137
tüdruk;18;0.137
selguma;18;0.137
aktiivsus;18;0.137
ennustama;18;0.137
kinnistu;18;0.137
välismaa;18;0.137
tervitama;18;0.137
teenistus;18;0.137
kontekst;18;0.137
kolleeg;18;0.137
taust;18;0.137
kehtima;18;0.137
ministeerium;18;0.137
isamaa;18;0.137
riina;18;0.137
arusaam;18;0.137
korralik;18;0.137
piim;18;0.137
nõuanne;18;0.137
analüüs;18;0.137
püsima;18;0.137
politsei;18;0.137
valija;18;0.137
hüppama;18;0.137
esmaspäev;18;0.137
video;18;0.137
lea;18;0.137
nato;18;0.137
kalender;18;0.137
aeg-ajalt;18;0.137
vebinari;18;0.137
leanika;18;0.137
kinnisvaraäri;18;0.137
veetma;18;0.137
traditsiooniline;18;0.137
poodkast;17;0.130
planeerimine;17;0.130
leidmine;17;0.130
nagunii;17;0.130
vedama;17;0.130
mäng;17;0.130
sõda;17;0.130
kallis;17;0.130
tohutu;17;0.130
kolima;17;0.130
pooleli;17;0.130
inglise;17;0.130
sundima;17;0.130
laiali;17;0.130
arkovara;17;0.130
sobiv;17;0.130
investor;17;0.130
1000;17;0.130
arendamine;17;0.130
toimetama;17;0.130
struktuur;17;0.130
erivajadus;17;0.130
ots;17;0.130
käsitlema;17;0.130
psühholoog;17;0.130
möödas;17;0.130
juhtimine;17;0.130
omavalitsus;17;0.130
mari;17;0.130
puudu;17;0.130
köögivili;17;0.130
populaarne;17;0.130
põhikool;17;0.130
kaja;17;0.130
võim;17;0.130
tookord;17;0.130
must;17;0.130
ilm;17;0.130
hullult;17;0.130
detsember;17;0.130
vene;17;0.130
tahtmine;17;0.130
eksole;17;0.130
poliitiline;17;0.130
kaljukits;17;0.130
veidi;17;0.130
pingutama;17;0.130
lähenemine;17;0.130
saturn;17;0.130
hooaeg;16;0.122
salvestama;16;0.122
kaamera;16;0.122
jaksama;16;0.122
treener;16;0.122
väsinud;16;0.122
peaasi;16;0.122
kindlalt;16;0.122
