ngram;count;freq_per_60_min;KP_markerid
mina töötama;18;0.5372;
sama asi;18;0.5372;
nagu tegelikult;18;0.5372;
mis noor;18;0.5372;
sina elu;18;0.5372;
selline inimene;18;0.5372;
neli kuu;18;0.5372;
see tunduma;18;0.5372;
mikk pärnits;18;0.5372;
kõige lihtsam;17;0.5074;
nagu vaatama;17;0.5074;
olema jääma;17;0.5074;
ei juhtuma;17;0.5074;
selline hästi;17;0.5074;
ka inimene;17;0.5074;
see laps;17;0.5074;
pool aasta;17;0.5074;
nüüd ütlema;17;0.5074;
aga inimene;17;0.5074;
pärnu linn;17;0.5074;
et ostja;17;0.5074;
see erinev;17;0.5074;
nii hea;17;0.5074;
nii hästi;17;0.5074;
väga meeldima;17;0.5074;
väga ilus;17;0.5074;
rääkima täna;17;0.5074;
kokku panema;17;0.5074;
mina kasutama;17;0.5074;
et teadma;17;0.5074;
nagu noor;17;0.5074;
saama tegelikult;17;0.5074;
ei käima;17;0.5074;
olema tooma;17;0.5074;
ja naine;17;0.5074;
mina kirjutama;17;0.5074;
ei andma;17;0.5074;
see objekt;17;0.5074;
see äri;17;0.5074;
mina hästi;17;0.5074;
miski viga;17;0.5074;
see jutt;16;0.4775;
nii äge;16;0.4775;
kõik noor;16;0.4775;
nagu mõtlema;16;0.4775;
ka erinev;16;0.4775;
edasi liikuma;16;0.4775;
palju asi;16;0.4775;
võtma ühendus;16;0.4775;
nii põnev;16;0.4775;
olema piisavalt;16;0.4775;
olema tavaliselt;16;0.4775;
olema kord;16;0.4775;
selline väike;16;0.4775;
tegelikult tahtma;16;0.4775;
see kindlasti;16;0.4775;
hästi hea;16;0.4775;
ka näide;16;0.4775;
selline olukord;16;0.4775;
see nägema;16;0.4775;
see probleem;16;0.4775;
mitu erinev;16;0.4775;
selline nii-öelda;16;0.4775;
tere hea;16;0.4775;
olema leidma;16;0.4775;
minema hästi;16;0.4775;
väga väike;16;0.4775;
selline suur;16;0.4775;
et täna;16;0.4775;
noor kaasamine;16;0.4775;
ja nii-öelda;16;0.4775;
tulema lihtsalt;16;0.4775;
siis rääkima;16;0.4775;
see sõltuma;16;0.4775;
mina oskama;16;0.4775;
see kinnisvara;16;0.4775;
ka kindlasti;16;0.4775;
mis maakler;16;0.4775;
kõige tähtsam;15;0.4477;
ja lihtsalt;15;0.4477;
noor inimene;15;0.4477;
mina lugema;15;0.4477;
hea mõte;15;0.4477;
tema andma;15;0.4477;
kaks kord;15;0.4477;
ausalt ütlema;15;0.4477;
see vaatama;15;0.4477;
see vana;15;0.4477;
mina aitama;15;0.4477;
see maailm;15;0.4477;
see põhjus;15;0.4477;
see vahe;15;0.4477;
ja suur;15;0.4477;
oma asi;15;0.4477;
inglise keel;15;0.4477;
ja teadma;15;0.4477;
olema kindel;15;0.4477;
olema täitsa;15;0.4477;
tema nägema;15;0.4477;
oma keha;15;0.4477;
nagu võtma;15;0.4477;
ja andma;15;0.4477;
kui rääkima;15;0.4477;
olema varem;15;0.4477;
olema keeruline;15;0.4477;
siis andma;15;0.4477;
olema mõistlik;15;0.4477;
see organisatsioon;15;0.4477;
mina tooma;15;0.4477;
euroopa liit;15;0.4477;
olema suurepärane;15;0.4477;
ise tundma;15;0.4477;
see sõna;15;0.4477;
see süsteem;15;0.4477;
olema aasta;15;0.4477;
ja aitama;15;0.4477;
olema tartu;15;0.4477;
see jääma;15;0.4477;
mina näide;15;0.4477;
see samm;15;0.4477;
tulema inimene;15;0.4477;
viimane aasta;15;0.4477;
olema ilus;15;0.4477;
mingi määr;15;0.4477;
ja hästi;15;0.4477;
õige hind;15;0.4477;
olema panema;15;0.4477;
ja maakler;15;0.4477;
et leidma;14;0.4178;
ja täpselt;14;0.4178;
ise elu;14;0.4178;
mis andma;14;0.4178;
siis mõtlema;14;0.4178;
siis lihtsalt;14;0.4178;
järgmine kord;14;0.4178;
olema toimuma;14;0.4178;
oma inimene;14;0.4178;
noh nii-öelda;14;0.4178;
siis loomulikult;14;0.4178;
pikk aeg;14;0.4178;
nagu lihtsalt;14;0.4178;
kas inimene;14;0.4178;
teine teema;14;0.4178;
ette võtma;14;0.4178;
see käima;14;0.4178;
ei uskuma;14;0.4178;
ei tekkima;14;0.4178;
ära unustama;14;0.4178;
tegelikult inimene;14;0.4178;
olema jällegi;14;0.4178;
kui näide;14;0.4178;
ka natukene;14;0.4178;
sina üldse;14;0.4178;
aitama inimene;14;0.4178;
eelmine nädal;14;0.4178;
see valitsus;14;0.4178;
olema tõepoolest;14;0.4178;
riina solman;14;0.4178;
olema valitsus;14;0.4178;
uus asi;14;0.4178;
tervislik toitumine;14;0.4178;
eesti inimene;14;0.4178;
et andma;14;0.4178;
päris suur;14;0.4178;
mina ostma;14;0.4178;
oma laps;14;0.4178;
see nimel;14;0.4178;
selline hea;14;0.4178;
kaja kallas;14;0.4178;
ja teiseks;14;0.4178;
üks põhjus;14;0.4178;
see piirang;14;0.4178;
saama teadma;14;0.4178;
ja nägema;14;0.4178;
et nii-öelda;14;0.4178;
olema tekkima;14;0.4178;
väike laps;14;0.4178;
ei maksma;14;0.4178;
üks hästi;14;0.4178;
see kolm;14;0.4178;
mis mõte;14;0.4178;
traditsiooniline perekond;14;0.4178;
see vastus;13;0.3880;
paik panema;13;0.3880;
mina kuulama;13;0.3880;
tema üldse;13;0.3880;
olema viimane;13;0.3880;
mina esimene;13;0.3880;
õige aeg;13;0.3880;
olema vaba;13;0.3880;
hästi lihtne;13;0.3880;
see suurem;13;0.3880;
ei muutuma;13;0.3880;
tähele panema;13;0.3880;
mis tahtma;13;0.3880;
inimene ütlema;13;0.3880;
mõni aasta;13;0.3880;
see natuke;13;0.3880;
mitu aasta;13;0.3880;
mina päriselt;13;0.3880;
et rääkima;13;0.3880;
võima juhtuma;13;0.3880;
mina tänama;13;0.3880;
olema hetk;13;0.3880;
uus arendus;13;0.3880;
kes kuulama;13;0.3880;
et suur;13;0.3880;
see programm;13;0.3880;
selline küsimus;13;0.3880;
tema mõtlema;13;0.3880;
väga lahe;13;0.3880;
mina töö;13;0.3880;
et naine;13;0.3880;
kaks asi;13;0.3880;
tulema vaatama;13;0.3880;
sina hinnang;13;0.3880;
noh näide;13;0.3880;
nagu väga-väga;13;0.3880;
see no;13;0.3880;
see võimalik;13;0.3880;
väga selgelt;13;0.3880;
olema tahtma;13;0.3880;
mis jääma;13;0.3880;
esimene samm;13;0.3880;
aga loomulikult;13;0.3880;
see aitama;13;0.3880;
mina toon;13;0.3880;
mina kohtuma;13;0.3880;
aga no;13;0.3880;
sina aitama;13;0.3880;
kes tegelikult;13;0.3880;
sina oskama;13;0.3880;
sina nii-öelda;13;0.3880;
olema elu;13;0.3880;
siis tartu;13;0.3880;
olema puhas;13;0.3880;
olema kirjutama;13;0.3880;
väga aktiivne;13;0.3880;
ei tegelema;13;0.3880;
olema paik;13;0.3880;
kui klient;13;0.3880;
tema küsima;13;0.3880;
üks osa;13;0.3880;
võima tekkima;13;0.3880;
kolm kord;13;0.3880;
mina otsima;13;0.3880;
selline tunne;13;0.3880;
olema viljandi;13;0.3880;
mina hingama;13;0.3880;
tööandja bränding;13;0.3880;
tulema kuulama;12;0.3581;
mina ema;12;0.3581;
see motivatsioon;12;0.3581;
olema parem;12;0.3581;
mina kutsuma;12;0.3581;
nii lihtne;12;0.3581;
olema lihtne;12;0.3581;
15 aasta;12;0.3581;
olema sündima;12;0.3581;
tema leidma;12;0.3581;
olema suurem;12;0.3581;
see näide;12;0.3581;
väga kiiresti;12;0.3581;
ja täna;12;0.3581;
olema suhteliselt;12;0.3581;
kõrgem hind;12;0.3581;
rääkima natuke;12;0.3581;
suur hulk;12;0.3581;
olema ilmselt;12;0.3581;
olema küsimus;12;0.3581;
mina tekkima;12;0.3581;
oluline asi;12;0.3581;
mingi mõte;12;0.3581;
mõni aeg;12;0.3581;
teine riik;12;0.3581;
siis näide;12;0.3581;
siis noor;12;0.3581;
kuidas inimene;12;0.3581;
kohalik omavalitsus;12;0.3581;
ette kujutama;12;0.3581;
see tee;12;0.3581;
see aru;12;0.3581;
kui suur;12;0.3581;
see piir;12;0.3581;
paar sõna;12;0.3581;
mina küsimus;12;0.3581;
eesti vabariik;12;0.3581;
rohkem info;12;0.3581;
nii raske;12;0.3581;
olema aru;12;0.3581;
suur rõõm;12;0.3581;
pidama õppima;12;0.3581;
mina kool;12;0.3581;
mis ütlema;12;0.3581;
järgmine aasta;12;0.3581;
mina isiklikult;12;0.3581;
eesti keel;12;0.3581;
eelmine kord;12;0.3581;
sina õppima;12;0.3581;
keegi ütlema;12;0.3581;
mina nimetama;12;0.3581;
kes täna;12;0.3581;
rääkima natukene;12;0.3581;
või üldse;12;0.3581;
mina nii-öelda;12;0.3581;
see suhe;12;0.3581;
see vastutus;12;0.3581;
maha võtma;12;0.3581;
see saade;12;0.3581;
väga õige;12;0.3581;
tema otsima;12;0.3581;
see kaart;12;0.3581;
kinnisvara hind;12;0.3581;
hea aeg;12;0.3581;
see tekkima;12;0.3581;
mina kartma;12;0.3581;
ei toimima;12;0.3581;
olema maakler;12;0.3581;
kokku võtma;12;0.3581;
olema absoluutselt;12;0.3581;
hästi tore;12;0.3581;
ka noor;12;0.3581;
eesti 200;12;0.3581;
et elu;12;0.3581;
see emotsioon;12;0.3581;
tööandja bränd;12;0.3581;
tänane saade;11;0.3283;
see kool;11;0.3283;
ka vaatama;11;0.3283;
et natuke;11;0.3283;
noor vaimne;11;0.3283;
et uus;11;0.3283;
see nimi;11;0.3283;
kõik tahtma;11;0.3283;
täiesti uus;11;0.3283;
ei laskma;11;0.3283;
või vaatama;11;0.3283;
võtma aeg;11;0.3283;
mina sattuma;11;0.3283;
olema päriselt;11;0.3283;
selline kuju;11;0.3283;
kui kaua;11;0.3283;
nii kiiresti;11;0.3283;
saama kindlasti;11;0.3283;
vaatama teinekord;11;0.3283;
ise keha;11;0.3283;
või lihtsalt;11;0.3283;
ei no;11;0.3283;
ei huvitama;11;0.3283;
mina soovima;11;0.3283;
hästi huvitav;11;0.3283;
kõik hästi;11;0.3283;
olema mure;11;0.3283;
see väike;11;0.3283;
olema tõusma;11;0.3283;
uus maja;11;0.3283;
uus korter;11;0.3283;
olema tundma;11;0.3283;
kui tahtma;11;0.3283;
ka natuke;11;0.3283;
see algus;11;0.3283;
kõige paremini;11;0.3283;
ja kolmas;11;0.3283;
ka eesti;11;0.3283;
kes käima;11;0.3283;
hea näide;11;0.3283;
kaks tund;11;0.3283;
palju küsimus;11;0.3283;
tema elu;11;0.3283;
sina andma;11;0.3283;
see toetus;11;0.3283;
erinev asi;11;0.3283;
palju lihtsam;11;0.3283;
et viljandi;11;0.3283;
kord nädal;11;0.3283;
kool käima;11;0.3283;
ja sööma;11;0.3283;
see valik;11;0.3283;
väga sageli;11;0.3283;
väga tahtma;11;0.3283;
tulema võtma;11;0.3283;
või no;11;0.3283;
et kool;11;0.3283;
et esiteks;11;0.3283;
tegema töö;11;0.3283;
mina näiteks;11;0.3283;
iga hommik;11;0.3283;
see konkreetne;11;0.3283;
viimane küsimus;11;0.3283;
see ettevõte;11;0.3283;
see number;11;0.3283;
olema vähem;11;0.3283;
siis üldse;11;0.3283;
ei viitsima;11;0.3283;
nagu kool;11;0.3283;
minema vaatama;11;0.3283;
kiri panema;11;0.3283;
läbi käima;11;0.3283;
tulema nii-öelda;11;0.3283;
sina tooma;11;0.3283;
esimene päev;11;0.3283;
see arutelu;11;0.3283;
see amet;11;0.3283;
välja ütlema;11;0.3283;
aasta lõpp;11;0.3283;
teadma täpselt;11;0.3283;
inimene tegelikult;11;0.3283;
nagu hea;11;0.3283;
mina büroo;11;0.3283;
mina kuulaja;11;0.3283;
miks inimene;11;0.3283;
olema kuulama;11;0.3283;
see kodu;11;0.3283;
või võtma;11;0.3283;
sina igapäevaselt;11;0.3283;
elu valmis;11;0.3283;
olema hunt;11;0.3283;
toksiline aine;11;0.3283;
saatejuht grete;10;0.2984;
noor aken;10;0.2984;
üks suur;10;0.2984;
see episood;10;0.2984;
mina istuma;10;0.2984;
mõni päev;10;0.2984;
palju rääkima;10;0.2984;
mina saade;10;0.2984;
miski juhtuma;10;0.2984;
niisugune asi;10;0.2984;
rääkima inimene;10;0.2984;
mina kuulma;10;0.2984;
tahtma küsima;10;0.2984;
olema paha;10;0.2984;
siin maailm;10;0.2984;
olema andma;10;0.2984;
olema teatud;10;0.2984;
üle vaatama;10;0.2984;
just ütlema;10;0.2984;
noh näiteks;10;0.2984;
miski ütlema;10;0.2984;
saama jälle;10;0.2984;
ära tundma;10;0.2984;
et tänapäev;10;0.2984;
et mees;10;0.2984;
et klient;10;0.2984;
olema turg;10;0.2984;
olema vähe;10;0.2984;
ära müüma;10;0.2984;
ruutmeeter hind;10;0.2984;
aasta aeg;10;0.2984;
ja uus;10;0.2984;
ja pärima;10;0.2984;
see nõudlus;10;0.2984;
väga tugev;10;0.2984;
olema oluliselt;10;0.2984;
ja viljandi;10;0.2984;
olema ettevõte;10;0.2984;
olema töö;10;0.2984;
võib-olla natuke;10;0.2984;
pakkumine arv;10;0.2984;
ka uus;10;0.2984;
tahtma ostma;10;0.2984;
ja müüja;10;0.2984;
et hind;10;0.2984;
siis kaks;10;0.2984;
saama lihtsalt;10;0.2984;
ja leidma;10;0.2984;
tahtma tegelikult;10;0.2984;
kaks kuu;10;0.2984;
kes elama;10;0.2984;
kaks inimene;10;0.2984;
palju noor;10;0.2984;
ette nägema;10;0.2984;
olema vajalik;10;0.2984;
see nõudma;10;0.2984;
see natukene;10;0.2984;
pidama üldse;10;0.2984;
kõik teadma;10;0.2984;
ise aeg;10;0.2984;
see lahendus;10;0.2984;
mina hea;10;0.2984;
et aitama;10;0.2984;
teine erakond;10;0.2984;
tema vajama;10;0.2984;
pidama rääkima;10;0.2984;
mina toetama;10;0.2984;
ikka jälle;10;0.2984;
ju teadma;10;0.2984;
saama käsi;10;0.2984;
nagu üldse;10;0.2984;
nädal aeg;10;0.2984;
see vaja;10;0.2984;
olema viis;10;0.2984;
ei lubama;10;0.2984;
praegu rääkima;10;0.2984;
see küsima;10;0.2984;
tema tooma;10;0.2984;
inimene leidma;10;0.2984;
et valitsus;10;0.2984;
tema käima;10;0.2984;
sina tegelema;10;0.2984;
kuidas noor;10;0.2984;
tartu noorsootöökeskus;10;0.2984;
avalik ruum;10;0.2984;
tegema tegelikult;10;0.2984;
ütlema ausalt;10;0.2984;
tulema uus;10;0.2984;
olema võimalikult;10;0.2984;
nii ilus;10;0.2984;
selline põnev;10;0.2984;
tema nii-öelda;10;0.2984;
et viimane;10;0.2984;
ja tekkima;10;0.2984;
ju ütlema;10;0.2984;
saama aitama;10;0.2984;
olema päike;10;0.2984;
too aeg;10;0.2984;
siis panema;10;0.2984;
mina tänane;10;0.2984;
tegelikult hästi;10;0.2984;
see trend;10;0.2984;
nii kaua;10;0.2984;
aga üldiselt;10;0.2984;
et kinnisvara;10;0.2984;
täna rääkima;10;0.2984;
poole pöörduma;10;0.2984;
oma äri;10;0.2984;
olema ainuke;10;0.2984;
mina nimi;10;0.2984;
miski uus;10;0.2984;
see tööandja;10;0.2984;
olema kasvama;10;0.2984;
andma teadma;10;0.2984;
ka rääkima;10;0.2984;
ja kool;10;0.2984;
hästi kiiresti;10;0.2984;
oma mure;10;0.2984;
et hunt;10;0.2984;
aasta ema;10;0.2984;
see toksiline;10;0.2984;
olema saatejuht;9;0.2686;
mina armastama;9;0.2686;
saama valima;9;0.2686;
nagu elu;9;0.2686;
mina noor;9;0.2686;
ka tartu;9;0.2686;
juba uus;9;0.2686;
tere õhtune;9;0.2686;
mina ühendus;9;0.2686;
ei kasutama;9;0.2686;
kaasa aitama;9;0.2686;
ja püüdma;9;0.2686;
mina proovima;9;0.2686;
paar aasta;9;0.2686;
see sisemine;9;0.2686;
oma mõte;9;0.2686;
selline huvitav;9;0.2686;
sest inimene;9;0.2686;
sina soovima;9;0.2686;
et issand;9;0.2686;
ja võimalus;9;0.2686;
nüüd tahtma;9;0.2686;
ja tundma;9;0.2686;
hästi tugev;9;0.2686;
mingi põhjus;9;0.2686;
võima rääkima;9;0.2686;
olema ostma;9;0.2686;
olema loomulikult;9;0.2686;
pidama jääma;9;0.2686;
pidama mõtlema;9;0.2686;
väike asi;9;0.2686;
mina algus;9;0.2686;
tema vaatama;9;0.2686;
paar nädal;9;0.2686;
nagu päriselt;9;0.2686;
50 protsent;9;0.2686;
aga teadma;9;0.2686;
arko akadeemia;9;0.2686;
oma otsus;9;0.2686;
ei eksima;9;0.2686;
euro ruutmeeter;9;0.2686;
