ngram;count;freq_per_1000_n-gramms
mis tegelikult;23;0.2077
tema tundma;23;0.2077
olema esimene;23;0.2077
aga lihtsalt;23;0.2077
olema raske;23;0.2077
ei mäletama;23;0.2077
ei mõtlema;23;0.2077
viimane aeg;23;0.2077
olema terve;23;0.2077
olema käima;23;0.2077
kõige parem;23;0.2077
see kaks;23;0.2077
see uus;23;0.2077
panema tähele;23;0.2077
sina tegelikult;23;0.2077
siis võtma;23;0.2077
arko vara;23;0.2077
see maakler;23;0.2077
väga äge;22;0.1986
sina meeldima;22;0.1986
noorsootöö keskus;22;0.1986
mina andma;22;0.1986
aga ütlema;22;0.1986
ja loomulikult;22;0.1986
välja nägema;22;0.1986
muu asi;22;0.1986
ei tundma;22;0.1986
see valdkond;22;0.1986
mis puudutama;22;0.1986
kõik inimene;22;0.1986
et no;22;0.1986
väga keeruline;22;0.1986
olema väga-väga;22;0.1986
mina suutma;22;0.1986
noh tegelikult;22;0.1986
aga kindlasti;21;0.1896
sest tegelikult;21;0.1896
olema aus;21;0.1896
oma kogemus;21;0.1896
olema vaatama;21;0.1896
mina elama;21;0.1896
ära võtma;21;0.1896
20 aasta;21;0.1896
olema selge;21;0.1896
ja võtma;21;0.1896
väga huvitav;21;0.1896
sina täna;21;0.1896
et hästi;21;0.1896
see mure;21;0.1896
see tunne;21;0.1896
veel kord;21;0.1896
olema õigus;21;0.1896
suur osa;21;0.1896
see info;21;0.1896
no ütlema;21;0.1896
olema mõte;21;0.1896
see hea;21;0.1896
et maakler;21;0.1896
et esimene;20;0.1806
olema kool;20;0.1806
oskama ütlema;20;0.1806
tartu noorsootöö;20;0.1806
viis aasta;20;0.1806
mitu kord;20;0.1806
kolm aasta;20;0.1806
mina jääma;20;0.1806
pidama silm;20;0.1806
tema jääma;20;0.1806
et näide;20;0.1806
vabatahtlik töö;20;0.1806
väga tihti;20;0.1806
mina tegelema;20;0.1806
sina mainima;20;0.1806
see klient;20;0.1806
too hetk;20;0.1806
see tegelema;20;0.1806
kokku leppima;20;0.1806
see võtma;20;0.1806
olema aeg;20;0.1806
