episode_id,gender,minutid,sõnaliik,feature,raw_count,freq_per_60_min
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,mina,459,427.41852043455776
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,tema,44,40.97258147956545
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,muu,2,1.862390067252975
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,see,382,355.7165028453182
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,oma,37,34.45421624418004
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,kõik,30,27.935851008794625
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,üks,55,51.215726849456814
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,kes,23,21.41748577340921
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,kumb,1,0.9311950336264875
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,mõlema,4,3.72478013450595
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,ise,36,33.52302121055355
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,mis,75,69.83962752198656
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,sina,81,75.42679772374548
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,selline,92,85.66994309363685
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,mingi,46,42.83497154681842
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,iseenese,1,0.9311950336264875
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,iga,13,12.105535437144338
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,miski,14,13.036730470770824
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,milline,2,1.862390067252975
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,teine,18,16.761510605276776
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,palju,2,1.862390067252975
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,teistsugune,4,3.72478013450595
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,mõni,4,3.72478013450595
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,sama,14,13.036730470770824
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,too,14,13.036730470770824
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,missugune,2,1.862390067252975
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,esimene,1,0.9311950336264875
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,keegi,8,7.4495602690119
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,seesama,2,1.862390067252975
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,niisugune,1,0.9311950336264875
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,mingisugune,1,0.9311950336264875
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,mitu,1,0.9311950336264875
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,M,64.43333333333332,asesõnad,sihuke,1,0.9311950336264875
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,75.97283333333333,asesõnad,tema,192,151.63314956881518
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,75.97283333333333,asesõnad,iga,11,8.68731586071337
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,75.97283333333333,asesõnad,mina,458,361.7082422006112
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,75.97283333333333,asesõnad,see,578,456.4789606811207
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,75.97283333333333,asesõnad,sina,104,82.13462268310822
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,75.97283333333333,asesõnad,ise,27,21.323411658114637
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,75.97283333333333,asesõnad,mingi,53,41.85706732889169
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,M,75.97283333333333,asesõnad,mingisugune,7,5.528291911363053
